train_log,train_benign_log,train_attack_log,train_contrastive_log,validation_log,validation_benign_log,validation_attack_log,validation_contrastive_log
1.553638910843154,1.0361696016990531,0.02124211949817205,0.49622768466755496,1.3871154063700502,1.07174372391216,0.0034998567955431925,0.31187172026217125
1.3921661376953125,1.0322008941133143,0.01840764587208376,0.341557745206154,1.3459608289930556,1.0386535067366651,0.008993250822062752,0.2983137270519356
1.3384488639184984,1.0319875296899828,0.01901357254739535,0.28744691105212195,1.301288721972887,1.025580728589502,0.0457710689968533,0.22993700104120493
1.2939543643240201,1.0309637037374206,0.01668372093620947,0.24630835904913434,1.5847144882166075,1.0301248897615618,0.015106953064036989,0.5394834694287456
1.3845617003360038,1.0300839957544359,0.019164099531658624,0.3353131827661547,1.3524256496564717,1.040478212613586,0.007589818738031049,0.30435768650496825
1.2776071580789856,1.0276465981693592,0.01406687296043008,0.23589210186974477,1.2528070400229019,1.0259119489232418,0.015327848159393238,0.21156754730441046
1.3249480683924788,1.0091133117675781,0.008944560915736829,0.30688971180026814,1.1824596937102911,0.9856403612357787,0.005893200001818069,0.19092622941831044
1.319585509219412,1.0187240212650623,0.009402351864313676,0.29145961696818723,1.3610995678191489,1.027869546948877,0.01204685792855337,0.32118409068871895
1.3096141491906117,1.0873953609143274,0.007448382801928763,0.21477154553946803,1.3077971185634605,1.0366121476987293,0.014173684672542779,0.2570111971374945
1.1924027265128443,0.9913506588693393,0.006745451587741658,0.19430640592413434,1.1922551148326685,0.9881618490737663,0.006500539486571689,0.1975939414743554
1.2248620502019332,0.9810573125289659,0.00541848701945806,0.23838592787920418,1.2814597993314125,0.9793025167839465,0.005717641072915801,0.29643938501957745
1.3217014377400027,0.9806857351529397,0.005866675558736769,0.3351490214719611,1.4243553648603724,1.00820461119884,0.003792568019659525,0.4123580968689975
1.3136555299920551,0.9830245971679688,0.006565097024885274,0.3240663884049755,1.3156277992483008,0.9877820747682107,0.003948352579247585,0.32389701680934174
1.268043130131091,0.9802094152418234,0.005695940579398204,0.282136820130429,1.8570560969359486,0.9975184808104315,0.0070354256505943645,0.8525022682568706
1.234776254427635,0.9863651728225966,0.005327076730081591,0.24308409933316505,1.257955348238032,0.982477138510269,0.008956517451762026,0.26652202200382313
1.1720234499139301,0.979440268823656,0.004959953538442062,0.1876235735618462,1.175808088153812,0.9805815135333555,0.003958155077399937,0.19126785675120975
1.2329159752797272,0.9805971565893141,0.0049135265714031155,0.24740560176008838,1.2255745384991874,0.9865354713818706,0.009745480602796478,0.22929380520579382
1.334051358497749,1.0139864258846993,0.005023218817630057,0.3150403944112487,1.1626490960448064,0.9824490017361112,0.0051666033183429255,0.17503333486281952
1.3582242545434984,0.9773303533004503,0.004463157411349021,0.3764307700981528,1.889014277897828,0.9830472328420509,0.008621987439780088,0.8973452159980791
1.5101227841134799,0.9767938387596001,0.00650943790451955,0.5268192614539194,2.2118964589797576,0.9918487043809102,0.01343529049668188,1.2066128056663712
1.3491311800681938,0.971537121271683,0.006747889821812258,0.3708459886453919,1.581709336445405,0.9916197864721853,0.008734760554969733,0.5813548852365913
1.2654642654677568,0.9690692061084812,0.006360635413961895,0.29003411632473186,1.270916156453162,0.9698706372128029,0.005950293078772002,0.2950948079427083
