train_log,validation_log
0.6510896197820114,0.5189063680830912
0.47057135630462127,0.44610300495396904
0.42370120549606066,0.4168934654350856
0.4006544856701867,0.40009258021062344
0.38611638343940347,0.38863859703792397
0.37563133239746094,0.3802958732873351
0.3677429587154065,0.3739326515389447
0.3610983703096034,0.37114128994582285
0.3555069616285421,0.3637576462635443
0.3514315395031945,0.360426476253337
0.3478189888647047,0.35323993165289336
0.34463627055539925,0.35286524787021045
0.34212548853987357,0.3517624361431179
0.33994784597623146,0.3493316880422621
0.3380853685282044,0.3477486461850267
0.3361777289439056,0.34619995577251494
0.3343016091039625,0.343550217211546
0.3325910729877019,0.3438532076888348
0.3311593330512613,0.3421249006261778
0.33006066791081834,0.34292863241991206
0.32855053271277473,0.3397472132390468
0.32722579826742915,0.33961111097479585
0.3261098053495763,0.338395506892372
0.32492062196893207,0.33884571784704776
0.32373121229268736,0.3370189187514722
0.3229984671382581,0.3347485412904366
0.32204928640591896,0.33106201018520337
0.3213047415523206,0.33574289293145415
0.320501521482306,0.3339646689256831
0.31990713992361297,0.3310391220016096
0.31915600016965706,0.3338006177739282
0.3185976642673298,0.3309135628705049
0.3180931867179224,0.332938381175899
0.3174874580512613,0.32674220099521045
0.31690894951254633,0.32986795243306377
0.31636509652865136,0.3277513513612987
0.3156548516225007,0.32709783046089824
0.3148670196533203,0.3266181754107451
0.31434670141187765,0.3301036202128808
0.3136233636888407,0.3283056517941269
0.3129154463945809,0.3275113129735592
0.31268064854508737,0.32641942776627275
0.3120676460912672,0.32723481451446684
0.3115803346795551,0.3229113631512052
0.3111423880366956,0.32568873113124214
0.31073993747517215,0.32573726788238067
0.3103171203096034,0.3239984560252434
0.30995899135783567,0.3213705705038866
0.3095921338614771,0.32099207202393804
0.30915670879816604,0.3234702642239518
0.3087837736485368,0.32471960633244346
0.3084900419590837,0.3270113767690994
0.30813605098401087,0.32228034704773867
0.30779508816993845,0.32170733734590923
0.3076523926298497,0.32169211689551275
0.30712906788971467,0.3222575355414769
0.30693794509111827,0.3238727435394747
0.3066346120026152,0.3197764871108472
0.3063385850292141,0.32172236610297583
0.30600117828886386,0.31765158571789615
0.30535513667737024,0.3190269661908174
0.3049705311403436,0.3205693882314404
0.3042847584869902,0.3184200651082561
0.30401029425152276,0.31776604580519785
0.3035925849009368,0.3173739946068232
0.3033674207784362,0.3168368507270238
0.3030945406121723,0.3170949466264428
0.30287732916363214,0.3164010551107589
0.3025996967897577,0.3164431126273457
0.3022849519374007,0.3162373298376649
0.30206104860467425,0.31555049263652246
0.3019124693789725,0.3169713811059693
0.30167285466598254,0.31583736170476406
