train_loss,train_benign_loss,train_attack_loss,train_diversity_loss,validation_loss,validation_benign_loss,validation_attack_loss,validation_diversity_loss,validation_auprc
0.7189208855063228,0.8382466203075344,0.021940203036292124,-0.14126543271339545,0.6157367967826537,0.7340252382535462,0.024125906310746573,-0.1424145800002078,0.9168870669719944
0.5630676786778337,0.6794667648056806,0.026032294257212492,-0.1424316470905886,0.5310428339820663,0.6391627534906915,0.03439651877040277,-0.1425166118793172,0.9507875065568738
0.5089128138655323,0.6227477122161348,0.028653324660608322,-0.142488625090001,0.49795240036984706,0.6067809337138003,0.03368710682465393,-0.14251576416881373,0.9509461735973856
0.47797115778518934,0.5932238304008872,0.027269991777710997,-0.14252213300284694,0.4762870481955526,0.5968131568133126,0.02203853868705443,-0.14256466083210975,0.951832577250296
0.4554737220376225,0.5724344415179754,0.025576967304035768,-0.14253755343162408,0.4581654866536458,0.5654612151161716,0.03532034285525058,-0.14261615473609726,0.9566023667127251
0.43958204883640095,0.5553984561208951,0.026746689263036697,-0.1425633672940529,0.4403738107523456,0.5541095778733562,0.028885690314831746,-0.14262146645403923,0.9719691883465407
0.4239598613674358,0.5404953390865003,0.02604105512974626,-0.1425764439469677,0.4266798952792553,0.5423767594862773,0.026986480604672264,-0.1426831148476747,0.967972234899749
0.41429219003451073,0.5323403891870531,0.02454494217694816,-0.14259339995303397,0.4202168782552083,0.5364575397320109,0.02642193471849951,-0.14266236397673335,0.9706796346006191
0.40418760655289987,0.5233944068520756,0.023402626231565315,-0.1426093699568409,0.4168978210882092,0.5346593834266031,0.024920993381076388,-0.1426826188468482,0.9673930283257146
0.39775295580847786,0.51575799715721,0.024618522595551053,-0.14262346493995795,0.4124412446439125,0.5257589281591681,0.029387056968454492,-0.14270481262928486,0.9580772409141078
0.38945682978225965,0.5079855514784991,0.024118623491060937,-0.14264720981403933,0.40058963856798535,0.5167299816230791,0.026547190709035166,-0.14268772314626274,0.9767034163678402
0.38249639737404,0.5024515895520226,0.022716118117510262,-0.14267111632783533,0.39501603218962394,0.5137563213952608,0.02397887362937837,-0.14271907039849752,0.9747768918720481
0.3767520775229244,0.49612811460333356,0.02330400175967459,-0.14267944077313957,0.39027614007323064,0.5081034270302341,0.02487804647314915,-0.14270516433896185,0.9738818373608709
0.3731336108708786,0.49300662541793566,0.02281159465595827,-0.14268474255577993,0.3890352722600842,0.5009934445644947,0.030752427752699978,-0.14271042194772274,0.970536653270011
0.37032638161869375,0.48941379482463254,0.023609773587372342,-0.1426970110101215,0.3844283083651928,0.5015825853280141,0.025545138275651504,-0.14269945582035867,0.9782685165413203
0.36507580643993315,0.48491384215274097,0.02286309306904421,-0.14270113282284494,0.38723091143524674,0.5046888851950354,0.02523805514576869,-0.14269600185096687,0.9706635026756238
0.36182759171825346,0.483122421523272,0.021397334034160033,-0.14269214565471067,0.37700571912400266,0.49131031802923686,0.02844013502693627,-0.14274477225950705,0.9786189973312382
0.3579523118875794,0.4794864007982157,0.021179368940450378,-0.14271361140881555,0.37307371315381205,0.4885474310980903,0.027263539902707364,-0.14273735028350326,0.9813705519522304
0.3548685817395226,0.4768286236261917,0.020756590164313884,-0.1427161814802784,0.3713821519351175,0.48800612285063905,0.02610333535124506,-0.14272744830336695,0.9815461629122391
0.35344075348417636,0.4745028221001059,0.021656986010276665,-0.14271901017528468,0.37727821295988473,0.4999463236923759,0.020065429362844913,-0.14273367987738717,0.9769184135657364
0.3502893286236262,0.4717210026110633,0.021284624681634418,-0.14271597134864936,0.36785697486101876,0.48551854343279033,0.025080410301262606,-0.1427419225093039,0.9785816416776271
0.34753188440355204,0.46996876344842425,0.02028177148204739,-0.14271905866719908,0.3703367264840056,0.48762126228206265,0.025448125023086583,-0.1427324353662225,0.9772389061780544
0.3445224115404032,0.4672502420716367,0.020007697202391542,-0.14273506099894895,0.3634813096788194,0.4815779160664155,0.024654902464954567,-0.1427513735795979,0.9793003828189112
0.34101664009740795,0.4640454761052536,0.019709051665613205,-0.14273769572629766,0.36447251773049644,0.48236733294547873,0.02487121744358793,-0.14276641593193615,0.9773658773379248
0.3407453440003476,0.46336067329018804,0.02013105053012654,-0.14274658591060316,0.36011409534066563,0.47874937666223405,0.024130458245604315,-0.1427653968756926,0.9770496770563266
0.337442430399232,0.4613090450480833,0.018876782918380478,-0.14274323996851,0.3605350647694112,0.47530529121416965,0.02800043931244113,-0.14277074466642195,0.9774763470513024
0.33493058156158967,0.4587846852965274,0.0188966383368282,-0.1427509340189271,0.3607266473431959,0.4752592262646831,0.028241926333019356,-0.14277479383680555,0.9781866551951465
0.3335591978945975,0.4570838152352026,0.01922825837539414,-0.1427527120557882,0.3565275584552305,0.47620335932882685,0.023085319122242307,-0.14276118537776578,0.9771713154459397
0.3343074604616327,0.45832459401276154,0.01873566336550955,-0.14275246959621624,0.3565906136875739,0.47154679535128546,0.02780221258213052,-0.14275819133641307,0.9784684407516897
0.3308788234904661,0.45567948939436576,0.01795391713158559,-0.14275460324044956,0.35558281215370124,0.47743448748938017,0.020919626204398224,-0.14277125870364213,0.9767958316366687
0.33031049825377384,0.4546488745737884,0.018420237605854616,-0.1427584987575725,0.35937608218362144,0.47907074912501846,0.023050028663436854,-0.14274470913212914,0.9765471586036799
0.3280158608646716,0.45211652982032907,0.018660521103163897,-0.14276142443640757,0.35083029456172427,0.4718601596552711,0.02174305746741329,-0.14277282786989326,0.9772728058234651
0.32781487804348186,0.4521878452624305,0.01838507288593357,-0.14275845026565812,0.34974046350934546,0.4674466541191083,0.025072219523977726,-0.14277848227931533,0.9787627717485025
0.3255025572695975,0.45063364707817466,0.017629807278261345,-0.14276098800917802,0.3495115456006206,0.466569363929983,0.025703037884218474,-0.1427610320684194,0.9775129340214077
0.3251082210217492,0.45005627001746223,0.017811361005750752,-0.142759630235575,0.3512425704487108,0.47326909058482935,0.02073723768229744,-0.14276356618173297,0.974473286358857
0.32281351897676114,0.4483839778576867,0.017196459285283492,-0.14276645143153305,0.3471443771470523,0.46259306057688754,0.027352666742130938,-0.14280126224454695,0.9813401428245714
0.32401156021376787,0.4489306433726165,0.01784281407372426,-0.1427621841430664,0.35907148356696955,0.47735170044233893,0.024484334544368953,-0.1427646844381418,0.9738029068162255
0.3224272323867022,0.4473094940185547,0.017881965233107745,-0.14276399450787045,0.3487776808141253,0.4672732161573766,0.024256670165005587,-0.14275216718092032,0.9789539094270734
0.32036289926302636,0.44622708983340503,0.01689570333998082,-0.14276006666280455,0.34945336019457374,0.4686275328868388,0.023612924219586887,-0.1427868872387753,0.9699011938659163
0.3173999786376953,0.4445485260527013,0.015610117023274049,-0.14275853108551542,0.3468654984278036,0.46595497221529625,0.023687572343975095,-0.1427772828591349,0.9755743751831991
0.3180511603921147,0.4438558998754469,0.01695185394610389,-0.14275660757291114,0.3487078438977541,0.4695788083628842,0.021855180708792755,-0.14272620379220227,0.974362555902984
0.3166251101736295,0.44367030515509137,0.01570138082665912,-0.14274648892677436,0.3453703174636155,0.4619479348473515,0.026176693873484366,-0.14275412412963578,0.976225955248953
0.3150856535313493,0.44174595202429817,0.01608679759300361,-0.14274720014151882,0.3427377615132794,0.46342295112339316,0.02207988035594318,-0.14276513534798407,0.979829530835678
0.31610611737784694,0.44191337844072764,0.01692752615880158,-0.14273464073569087,0.3472546155852911,0.46136842551806295,0.028657712553128,-0.14277158335872858,0.9771116037398705
0.31530367317846264,0.4415842476537672,0.016465912430973378,-0.14274663440251756,0.34267589668291965,0.4571199890569592,0.02833909740402907,-0.14278302745052546,0.9810735954854867
0.3126606052204714,0.4395536972304522,0.015848966978364073,-0.14274184986696406,0.3417082080886155,0.4635621920826869,0.020893288560511092,-0.14274731539101748,0.9821948536506224
0.3109935178595074,0.4375688585184388,0.016172765675237625,-0.1427480729959779,0.3444703374912271,0.45810160174719267,0.029116344226449375,-0.14274745066397015,0.977306309779016
