mse_loss,oe_loss,contrastive_loss,diversity_loss,loss
1.0227674756731306,1.0515443711053758,0.4563851583571661,-0.11988567170642671,2.4108101981026784
1.0107600802466983,1.017907006399972,0.2455035164242699,-0.1381040641239711,2.136066436767578
1.0047463008335658,1.0111675262451172,0.23306508291335332,-0.1369180338723319,2.1120609101795016
1.009867895217169,1.0152235485258556,0.20219968614124118,-0.13650681858971006,2.090784163702102
1.0010052635556175,1.00254149664016,0.1772988410223098,-0.13975818951924643,2.0410870143345425
1.0130692436581565,1.0222704751150948,0.1934206826346261,-0.13989921978541783,2.0888611929757253
1.0009969075520833,0.9985322498139881,0.14975411551339285,-0.14143066179184688,2.007853008451916
0.9995174407958984,0.9978555951799665,0.12624748547871908,-0.14209420340401785,1.9815265110560827
0.9990812029157367,0.9991418747674852,0.11880354654221308,-0.14231510389418828,1.974711645217169
0.9960329873221261,0.9922726040794736,0.11197719119843982,-0.1422960644676572,1.95798583257766
0.999416260492234,0.9996669405982608,0.1092742851802281,-0.14243066878545851,1.9659273056756883
0.9958860306512742,0.9913806915283203,0.10181481497628349,-0.14252681959243046,1.9465548197428386
0.9953942071823847,0.9893726167224702,0.1022191842397054,-0.14226521764482772,1.944720676967076
0.9933640616280692,0.9871695382254464,0.08955441202436175,-0.14258443741571336,1.9275033133370536
0.9923591613769531,0.9859795343308222,0.09201699779147193,-0.14257909002758207,1.9277766999744235
0.9916266486758277,0.9848516555059523,0.08869952814919609,-0.1426349708012172,1.9225425720214844
0.9898145766485305,0.9832673754010882,0.08953205744425456,-0.14263735498700822,1.9199772789364768
0.9899687994094122,0.9807950882684617,0.0872389589037214,-0.14262998671758742,1.915373302641369
0.9883851550874256,0.9783580416724795,0.08083776632944743,-0.14267066546848842,1.9049097696940105
0.9852130526588077,0.9745685032435826,0.08745961529867989,-0.14268613996959867,1.9045550028483074
0.9814163389660063,0.9695862361363002,0.08100068001520067,-0.14267628533499582,1.8893270946684337
0.9830136072067988,0.9727173759823754,0.07902970200493223,-0.14270305633544922,1.892057872953869
0.9811413174583798,0.970116933186849,0.08569243408384777,-0.14272103990827287,1.894229525611514
0.977218991234189,0.9650309426443917,0.11275796663193476,-0.14271954127720424,1.9122879391624814
0.9786544981456938,0.9686717078799293,0.10126134327479772,-0.14261165119352795,1.9059758867536272
0.9819100697835287,0.9723113832019624,0.11318278312683105,-0.14213480268205916,1.9252693539574033
0.9772345225016276,0.9639025188627697,0.0987569150470552,-0.14220125334603445,1.8976919991629464
0.9705357324509394,0.9599500383649554,0.07449673470996675,-0.14257937385922387,1.8624038696289062
0.9709409986223493,0.957082021804083,0.05367658819471087,-0.14270458902631486,1.8389954339890253
0.9681812468029204,0.9541615077427456,0.05876767635345459,-0.14275109200250535,1.8383594694591703
0.9675947825113932,0.9521364484514508,0.04658263354074387,-0.14277514957246326,1.823538825625465
0.9673708052862258,0.952973138718378,0.051751840682256786,-0.1427915436880929,1.8293041047595797
0.9669872465587798,0.9526195526123047,0.052135586738586426,-0.14279930932181223,1.8289429800851005
0.9663206736246744,0.951201665969122,0.04446737255368914,-0.1428068024771554,1.8191828046526228
0.9679459163120815,0.9532597859700521,0.048515121142069496,-0.14281096912565686,1.8269104730515253
0.9665392921084449,0.9523914882114956,0.047712672324407665,-0.142816044035412,1.8238276527041482
0.9647562844412667,0.9497199285598028,0.04597464061918713,-0.14282001767839705,1.8176314944312686
