mse_loss,contrastive_loss,router_load_balance_loss,loss
0.9931290944417318,0.4630353110177176,2.017703646705264,3.473867870512463
0.9564031873430524,0.199820495787121,2.003211248488653,3.1594347272600447
0.9356277102515811,0.17404651641845703,2.004173823765346,3.1138487316313244
0.923514411562965,0.15614958036513554,2.0061066037132624,3.085769290015811
0.9090389978317988,0.1405713671729678,2.0048005240304128,3.054411388578869
0.9037984212239584,0.14959830329531715,2.0061238606770835,3.059519813174293
0.8986366816929409,0.12839352516900926,2.0073194957914806,3.0343497140066966
0.896112805321103,0.12672188168480283,2.0068946111769903,3.029728662400019
0.8952926454089937,0.11789830525716145,2.006136031377883,3.0193268912179128
0.8903053828648159,0.11465321268354144,2.0098568144298734,3.0148148309616816
0.8928366161528087,0.11183819316682361,2.005670819963728,3.0103452773321244
0.8878423599969774,0.10420345124744233,2.0067080543154763,2.9987535022553944
0.8854930514381045,0.10037439210074288,2.0076871599469865,2.993554251534598
0.8807828994024367,0.10039471444629487,2.005352565220424,2.9865308489118303
0.8853256588890439,0.09867192450023833,2.0080166771298362,2.9920138404482888
0.883887699672154,0.09224837166922432,2.0046661013648626,2.9808020818801153
0.8853389195033482,0.09257179214840844,2.0051167805989585,2.983028230212984
0.8872486296154204,0.08527059214455741,2.0047149658203125,2.9772355215890065
0.8759841010684059,0.08104121117364793,2.0056666419619607,2.9626915341331843
0.8768676576160249,0.08228644302913121,2.005474635532924,2.9646283104306175
0.8713972909109933,0.0767051378885905,2.004409971691313,2.9525135585239957
0.8711063748314267,0.0765965325491769,2.0061538332984563,2.9538563319614957
0.8753673008510044,0.07215201287042528,2.0053076971144903,2.9528272719610307
0.8711256299700055,0.07161403269994826,2.0050443013509116,2.9477835155668712
0.8656735193161738,0.0785445145198277,2.006977989560082,2.951195489792597
0.8709926605224609,0.06964997450510661,2.0052918933686756,2.945935385567801
0.8589813595726377,0.07329317501613072,2.004572005498977,2.9368467785063244
0.8589687347412109,0.06501220521472749,2.003161294119699,2.9271429152715776
0.8596390315464565,0.05906583013988677,2.004399980817522,2.9231051490420388
0.876003174554734,0.07670787402561732,2.0047240484328497,2.9574354262579057
0.8592096056256976,0.06749523253667922,2.004887172154018,2.931592123849051
0.8604670933314732,0.06109837690989176,2.0043344043550038,2.925898960658482
0.8583443051292783,0.06841207685924712,2.0071307591029575,2.933886936732701
0.8575760977608817,0.06383459340958368,2.004368554978144,2.925779251825242
0.8716768537248883,0.06836094175066267,2.004593258812314,2.9446316673642112
0.8713110060918898,0.06943770249684651,2.0051876249767484,2.945936475481306
0.8539341517857143,0.06724139054616292,2.0048590160551525,2.9260346548897878
0.8548328762962705,0.05629077411833264,2.005920955113002,2.9170448666527156
0.8489327203659784,0.055406462578546437,2.005536578950428,2.9098755972726003
0.860682623726981,0.061780816032772974,2.003665015811012,2.926128932407924
0.8514282589867002,0.06371260824657622,2.0047204153878346,2.9198610214960006
0.855979737781343,0.056375316211155484,2.005925859723772,2.918281918480283
0.8542038145519438,0.04789309274582636,2.0031229654947915,2.905219486781529
0.8540533156622023,0.05957879906608945,2.0056920732770647,2.9193242390950522
0.8529625847226098,0.05083973634810675,2.003395262218657,2.9071969531831288
0.8491545177641369,0.04901339326586042,2.0043031601678756,2.902470906575521
0.8484107426234654,0.04815417244320824,2.0043409438360307,2.9009063357398626
0.838822501046317,0.04976939587366013,2.0039881751650857,2.8925797598702565
0.857438496180943,0.06813891728719075,2.003685724167597,2.929263705299014
0.8494116465250651,0.06459132830301921,2.004715329124814,2.91871824718657
0.8395873478480748,0.05563082013811384,2.004290081205822,2.89950924827939
0.8418679918561663,0.05939601148877825,2.004848116920108,2.9061119442894343
0.8383469354538691,0.05924914564405169,2.0048753647577193,2.9024719964890253
0.8514797573997861,0.05729468095870245,2.0065585545131137,2.915332794189453
0.8380955287388393,0.0533869152977353,2.0034286862327937,2.8949112665085566
1.5306454613095237,0.23105553218296596,2.0199617658342635,3.781663077218192
1.0213717506045388,0.4030374345325288,2.0262354896182107,3.450645083472842
1.0038752782912481,0.1236747560046968,1.9651365734281994,3.092686244419643
1.0000291551862444,0.05686678205217634,1.9972855704171317,3.0541810535249256
0.9983675820486886,0.040284957204546244,2.0015106201171875,3.040164039248512
0.9946949368431455,0.0354973106157212,2.0124104817708335,3.042601994105748
0.9928280058361235,0.028498836926051548,2.0083445594424294,3.0296714419410344
0.9950380779448009,0.04053771495819092,2.0096628098260787,3.0452394031343006
0.9907166617257255,0.02555349894932338,2.0100513639904203,3.0263206845238093
0.9910401843843006,0.028248102892012822,2.008537837437221,3.0278262183779763
0.9876608167375837,0.020146724723634265,2.009823753720238,3.0176308041527156
0.9879913330078125,0.021989883411498296,2.0099512736002603,3.0199332464308966
0.983921141851516,0.024851515179588682,2.0061919802711126,3.0149645124162947
0.9783900124686105,0.018579321248190745,2.0086177644275485,3.0055872599283853
0.9691571735200428,0.02436284508023943,2.0104591732933406,3.00397945585705
0.9638441176641555,0.03592147429784139,2.0175167265392484,3.0172822134835378
0.9823055267333984,0.05356132416498093,2.0140357244582403,3.049902779715402
0.97272827511742,0.032216611362638925,2.0135841369628906,3.018529256184896
0.954970223563058,0.032464333942958286,2.0079116821289062,2.995346250988188
0.9570957365490141,0.032521313145047144,2.009414309547061,2.9990308852422807
0.9494483584449405,0.03484682242075602,2.005991981143043,2.9902877807617188
0.9492024921235585,0.03578085842586699,2.0099183945428756,2.9949017479306175
0.9503563472202846,0.03136706636065528,2.0121163867768788,2.993839445568266
