mse_loss,oe_loss,loss
0.9481594448997861,0.9730800447009859,1.9212395804268974
0.873396737234933,0.8720709482828776,1.7454675946916853
0.8319721221923828,0.8270103817894345,1.658982413155692
0.7999569120861235,0.7841638837541852,1.5841207958403087
0.7688940139043898,0.7475998742239816,1.516493661063058
0.7453772681100028,0.7205963134765625,1.465973172869001
0.7278237115769159,0.6961547760736375,1.4239786238897414
0.7113088880266462,0.6774365107218424,1.388745353335426
0.6997612998599098,0.6607241857619512,1.3604857126871746
0.6900747844151088,0.6467412766956148,1.3368160611107236
0.6813140142531622,0.6379735129220145,1.3192875271751767
0.6735409327915737,0.6258204323904855,1.2993615468343098
0.6654485974993024,0.6129134950183687,1.278362092517671
0.6576003574189686,0.6041130338396344,1.2617133912586032
0.6514268148513067,0.599943478902181,1.2513702937534876
0.646269889104934,0.5887489772978283,1.235018593924386
0.641310283115932,0.5810159501575288,1.2223262786865234
0.6371791022164481,0.5719466436476934,1.2091257912772042
0.6333080019269671,0.5673558825538272,1.2006637028285436
0.6305388496035621,0.5584754035586402,1.189014162336077
0.6276772816975912,0.5563407625470843,1.1840179080054873
0.6230757577078683,0.5503877003987631,1.173463912237258
0.6205471129644484,0.5467426209222703,1.167289824712844
0.6161184310913086,0.5406799770536876,1.1567987714494978
0.6130822045462472,0.5367909386044457,1.149872825259254
0.6112445649646577,0.5333828699021113,1.1446274348667689
0.6074177878243583,0.5298339298793248,1.1372514452253069
0.6067313239687965,0.5297770273117792,1.1365080333891369
0.6054818289620536,0.5243549801054455,1.1298370361328125
0.6013153166998,0.5170676821754092,1.1183832259405226
0.5999314898536319,0.5110177539643788,1.110949198404948
0.599248522803897,0.5132631574358258,1.1125116802397228
0.5969098863147554,0.512721197945731,1.1096310388474238
0.5943757465907505,0.5073723111833844,1.1017475128173828
0.592985334850493,0.5037278220767066,1.096713383992513
0.59178588503883,0.5029033479236421,1.0946895054408483
0.5889310382661366,0.4987114497593471,1.0876426696777344
0.5861963090442476,0.4943964367821103,1.0805928366524833
0.5854409535725912,0.49494212014334543,1.08038330078125
0.5846555800664992,0.49171602158319383,1.0763716924758184
0.5825151715959821,0.4902788343883696,1.072793960571289
0.58193115960984,0.4863881156558082,1.0683192298525857
0.5807297570364816,0.48565741947719027,1.0663870856875466
0.5784100577944801,0.48775672912597656,1.0661668323335194
0.5781576065790086,0.48052901313418434,1.058686301821754
0.5761888140723819,0.4782091776529948,1.0543976738339378
0.5762151082356771,0.48035394577752977,1.0565690540132069
0.5743838264828637,0.47710000900995164,1.051483880905878
0.5710306167602539,0.47422481718517484,1.045255388532366
0.5710548673357282,0.47280547732398626,1.0438603900727772
0.5689142772129604,0.4689521335420154,1.0378661382765997
