mse_loss,oe_loss,diversity_loss,router_load_balance_loss,total_loss,learning_rate,weight_mse_loss,weight_oe_loss,weight_diversity_loss,weight_router_load_balance_loss
1.174720893471928,1.3364226777674788,0.0003393702208995819,4.0057016146385065,3.0691494699251853,0.001,0.8445584177970886,0.8732576966285706,100.0,0.2497406005859375
1.1763115575758076,1.115941322455972,0.000022376504710922805,4.004516342938957,2.9875754663499734,0.0009999383162408303,0.8629253506660461,0.9026404023170471,100.0,0.2502935230731964
1.1616468267925715,1.0775521488512976,0.000017796455629927627,4.00607636015294,2.9864124362751587,0.0009997532801828658,0.8738596439361572,0.9328290820121765,100.0,0.2502012848854065
1.148376982090837,1.058969465352721,0.00001651348281746446,4.006700936010328,2.9859996730998413,0.0009994449374809851,0.8809404373168945,0.9548336267471313,100.0,0.24946117401123047
1.1347340729277013,1.0355548535363148,0.000016463445933630406,4.007453530521716,2.985110525357521,0.0009990133642141358,0.8889092206954956,0.9689818024635315,100.0,0.2489199936389923
1.1243077940860038,1.016436689991062,0.000015523663516771996,4.007572238728152,2.9858245849609375,0.000998458666866564,0.9035466909408569,0.9838942885398865,100.0,0.24906828999519348
1.1147788096282443,0.9966637562897246,0.00001579243985746624,4.007233183262712,2.986617266121557,0.00099778098230154,0.9054835438728333,0.9990984201431274,100.0,0.25012651085853577
1.1045439122086864,0.9888890799829515,0.000016033285400056738,4.00423858125331,2.9860837257514565,0.0009969804777275899,0.9189041256904602,1.0030990839004517,100.0,0.2498992532491684
1.1014329296047405,0.9814602480096332,0.000015223119605206332,4.005808426161944,2.9861897614042636,0.000996057350657239,0.9039087891578674,1.019790530204773,100.0,0.24939578771591187
1.0938912084547139,0.9727474794549457,0.00001493185833570058,4.005054538532839,2.985547857769465,0.0009950118288582787,0.922800600528717,1.0253621339797974,100.0,0.24912239611148834
1.0913248870332362,0.9598686735508806,0.000014067146043151111,4.003881939386917,2.9877071057335804,0.0009938441702975688,0.9278537631034851,1.0289435386657715,100.0,0.25007134675979614
1.085825386693922,0.9530405594130694,0.0000133584411341255,4.004791259765625,2.9855775994769598,0.000992554663077387,0.9309925436973572,1.055045247077942,100.0,0.24911612272262573
1.0818441358663269,0.9522949477373543,0.000013153599496236291,4.005409111410884,2.9865401963056146,0.0009911436253643444,0.9243118762969971,1.0463802814483643,100.0,0.24947233498096466
1.0812776209944386,0.9446003800731594,0.000013406031323060141,4.004255391783634,2.9842376708984375,0.0009896114053108828,0.9327636957168579,1.055177927017212,100.0,0.24898430705070496
1.0750610868809587,0.9409190032441738,0.000013317753979146986,4.0036670232223255,2.983928098516949,0.0009879583809693736,0.9352343678474426,1.0686514377593994,100.0,0.24918369948863983
1.072896537134203,0.9326803563004833,0.000013165378161721816,4.001170530157574,2.9860819153866527,0.0009861849601988382,0.942293107509613,1.0727765560150146,100.0,0.2486744225025177
1.0714951854641155,0.9296449564271054,0.00001309549049237522,4.0012768244339245,2.983994306144068,0.0009842915805643154,0.9498255848884583,1.0716649293899536,100.0,0.24910074472427368
1.0692535659014168,0.9189515194650424,0.000013306043387027616,4.00416771840241,2.9851751812433793,0.000982278709228899,0.9417576193809509,1.0941553115844727,100.0,0.24981078505516052
1.0673405922065347,0.9130783081054688,0.000012960041265429582,4.002960722325212,2.983697664939751,0.0009801468428384714,0.9440383911132812,1.0936816930770874,100.0,0.2499474734067917
1.0642410536943856,0.9113754013837394,0.000013100274372845888,4.004100217657574,2.985721394167108,0.0009778965073991648,0.9499601721763611,1.0819451808929443,100.0,0.24869152903556824
1.0615677914376986,0.9075573420120497,0.000012999377805360798,4.003429606809455,2.984251119322696,0.0009755282581475766,0.9424121975898743,1.1074103116989136,100.0,0.2489681988954544
1.0595476182840637,0.9022015717069981,0.000012687576137546261,4.0010637186341365,2.9857762223583157,0.0009730426794137723,0.9510636925697327,1.1015172004699707,100.0,0.2502037584781647
1.0592390157408633,0.8961909019340903,0.000012974248867545088,4.004537032822431,2.9860087249238614,0.0009704403844771124,0.9585013389587402,1.1102795600891113,100.0,0.24896793067455292
1.0581025592351363,0.8944405377921412,0.000012548714363158255,4.0025895975403865,2.9858444989737816,0.0009677220154149334,0.9583926796913147,1.111799716949463,100.0,0.2500876784324646
1.0534318180407507,0.8971088215456171,0.000012438360530630512,4.00343607239804,2.985169491525424,0.0009648882429441253,0.9630195498466492,1.1090346574783325,100.0,0.2492293119430542
1.0565790079407773,0.8891673977092162,0.00001202697739383932,4.0036983166710804,2.9846380201436706,0.000961939766255643,0.9589416980743408,1.1222585439682007,100.0,0.24869860708713531
1.052824957896087,0.8856399665444584,0.000012207821690303794,4.003193742137844,2.9853117344743114,0.0009588773128419901,0.9606887102127075,1.1192004680633545,100.0,0.2496674656867981
1.0530074814618644,0.8836407418978416,0.000011762533084315769,4.004423497086864,2.985223543846001,0.0009557016383177221,0.9574276804924011,1.1331546306610107,100.0,0.2486191838979721
1.0506790937003443,0.8769181461657508,0.000011823101608493065,4.00013939808991,2.9869369248212396,0.0009524135262330093,0.9620655179023743,1.1172915697097778,100.0,0.2500396966934204
1.0484467199293233,0.8773708020226431,0.000011329500643946861,4.002992791644598,2.9854043217028603,0.0009490137878803073,0.9640538096427917,1.1248859167099,100.0,0.2494143843650818
1.0487152358232918,0.8792819006968353,0.000012210915575466923,4.0041759943557995,2.9853872525489935,0.0009455032620941834,0.9680836200714111,1.1368043422698975,100.0,0.24868781864643097
1.047447139933958,0.8711090087890625,0.000011314975366122642,4.001391136040122,2.9833291263903603,0.0009418828150443463,0.9687156677246094,1.1340745687484741,100.0,0.24933189153671265
1.0448464862370894,0.8753889051534361,0.000010795218443845289,4.0010427701271185,2.984987161927304,0.0009381533400219311,0.9701336622238159,1.1363227367401123,100.0,0.2499943971633911
1.045659275378211,0.8716560622393075,0.00001119633927404628,4.003965733414989,2.9851557844776218,0.0009343157572190951,0.9658957123756409,1.145783543586731,100.0,0.24938467144966125
1.0457176596431408,0.8649627556235103,0.000011327911278832767,4.002246921345339,2.985079231908766,0.0009303710135019713,0.9679470062255859,1.1472620964050293,100.0,0.2492649108171463
1.0439305709580244,0.8628556849592823,0.000011421195468155005,4.0013580322265625,2.986853906663798,0.0009263200821770456,0.9676786661148071,1.1473029851913452,100.0,0.24944156408309937
