train_log,validation_log
0.655746201337394,0.563565316511758
0.5286378375554489,0.5110786092940287
0.4905379020561606,0.482846475725797
0.46476541939428295,0.46309347488173286
0.44774575960838187,0.4501894850227701
0.4355054952330508,0.4395541473848736
0.4260548090530654,0.4289105285951241
0.41668455479508737,0.42008853318104195
0.41011483790510794,0.41782521003454776
0.405144998582743,0.41384742008381753
0.4001165163719048,0.40694017266508326
0.3951753842628608,0.40343885565522924
0.3914948479603913,0.3992145480822079
0.3875193515066373,0.39482327561881675
0.38349824032541047,0.3923460227161197
0.3806768514342227,0.39021059735935537
0.3782301110736394,0.38803342119533213
0.37565486713991325,0.38599568275950064
0.3732282024318889,0.3816343527942447
0.3704227188886222,0.38036488288611026
0.3683665647345074,0.3782623521047621
0.3664300886251159,0.37806069072167475
0.3643805616993015,0.3728682168165044
0.36254223322464246,0.37288362896023086
0.361185106180482,0.37313639578507773
0.3595015638965671,0.36960214586114165
0.3575011754440049,0.36843580696451006
0.35532110828464314,0.3656582856298092
0.35391497207900224,0.36545923127600893
0.35231926481602555,0.36384988909390703
0.3507203570866989,0.36383547375549624
0.3493550834009203,0.3609219268338764
0.34810528512728417,0.35913434819360474
0.3472708039364572,0.35757622646926035
0.3463261491161282,0.3587193704729703
0.34550547195693193,0.35779356836673604
0.34482529203770523,0.35575517817358276
0.34398295515674654,0.3552562387744386
0.34276700423935713,0.3533649157040083
0.3417947090278238,0.35341283903649107
0.34077637882555945,0.3529558037992698
0.34022518739861957,0.3516049409032467
0.33956766936738614,0.3530390370431258
0.3390693664550781,0.3517489409326908
0.33854093389996026,0.35346543968622407
0.3379584490242651,0.3507958416962743
0.337288032143803,0.3499573367324906
0.33669529931019926,0.3487500138019198
0.33564687179306807,0.3477918538615931
0.3349671444650424,0.34682828816936245
0.33428955078125,0.3456232272200848
0.3337428852663202,0.34650839034037373
0.33320624141369837,0.3449450545574552
0.33285234742245434,0.34552956585908057
0.3323461564920716,0.3496633941803745
0.33179370427535754,0.34601677362643296
0.3310002149161646,0.34456830048680903
0.33019143443996624,0.34530298434310225
0.3296703403278933,0.34282139917114873
0.329187199220819,0.34482179574630967
0.3287995871851,0.34085343710741206
0.32847979917364606,0.34206881115784
0.3281918865139202,0.3461668311651029
