train_log,train_benign_log,train_attack_log,validation_log,validation_benign_log,validation_attack_log
0.8325239278502383,0.8072176141253973,0.025306099552219196,0.7366819990442154,0.7105722269549719,0.02610970896186558
0.6976575689800715,0.6689176397808527,0.028739741293050475,0.6685146034186613,0.6351567261607934,0.033357730712169166
0.6528254363496425,0.6224801015045683,0.030345575284149686,0.6457597448470744,0.6175257906000665,0.02823357322819126
0.625470500881389,0.5960584737486758,0.029412356473631777,0.6199515412603428,0.5944103484458112,0.025541215360023732
0.6086401212013374,0.5798359240515757,0.028804520429190943,0.6185750036938534,0.5909685716561391,0.027605872909509825
0.593931747695147,0.5662163556632349,0.02771504450652559,0.5956914013441009,0.5649140630771646,0.030777419430707928
0.5775172346729344,0.5525497177899894,0.024967252197912185,0.5914409448069038,0.5606470491305593,0.03079372883970292
0.5696857258424921,0.544368420617055,0.02531709509380793,0.5780928230736554,0.5445063886349365,0.033586208983797834
0.5710056110963984,0.5421904871019266,0.02881488557589256,0.5703316185773124,0.5408030119911716,0.029528581786099337
0.5604108390161546,0.5352622533248643,0.02514855538384389,0.5800834998453199,0.5517253830641438,0.02835837605433543
0.5563734022237486,0.530052088074765,0.026321328292458743,0.5689716744930187,0.5396697132299978,0.02930154191686752
0.5505893513307734,0.5251083697302866,0.02548103615389032,0.5626764320030844,0.535132153378029,0.027544474770836797
0.5525121527203058,0.5261040380445577,0.02640833490985935,0.5640086361138815,0.5373666100468196,0.02664232592210702
0.5431183637198755,0.5178238496942035,0.02529435036546093,0.5578607509604019,0.5303722408646387,0.027488778387119304
0.5337158785027972,0.5107423491397146,0.022972909070677675,0.5493954777999409,0.5227779451555112,0.02661763184459497
0.5386379047975702,0.5137298713296147,0.024907976894055384,0.5510332905654366,0.5266012638173205,0.0244321191846338
0.5306239370572365,0.5068804207494704,0.023743417303440935,0.5425836008491246,0.5163887330544474,0.026194252302742454
0.5222033484507416,0.5020821134922868,0.02012140468015509,0.5423808717840388,0.519633191697141,0.02274751099570705
