model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack
BaseNormalAutoEncoder,54162,35197,18965,,0.7558119621096042,0.7687862098756335,1.0063341856002808,1.6676411628723145,0.22813749313354492,0.8047108054161072
BaseNormalAutoEncoder [direct_injection],52090,35197,16893,,0.7367499814210102,0.7379940191812546,1.0063341856002808,1.6272310018539429,0.22813749313354492,0.5936350226402283
BaseNormalAutoEncoder [indirect_injection],36251,35197,1054,,0.9298072831483233,0.4959856141117108,1.0063341856002808,1.8961714506149292,0.22813749313354492,0.4070352017879486
BaseNormalAutoEncoder [jailbreak],36215,35197,1018,,0.8919838397103969,0.6554841648360872,1.0063341856002808,2.1016080379486084,0.22813749313354492,2.403103828430176
