std_multiplier,candidate_low_threshold,attacks_bypassed,attacks_bypassed_pct,benign_fast_pathed,benign_fast_pathed_pct
0.0,1.007196068763733,1047,0.28482045701849834,3991,0.5563144689155283
0.1,1.0301022231578827,1093,0.29733405875952124,4397,0.6129077223306384
0.2,1.0530083775520325,1139,0.3098476605005441,4731,0.659464733760803
0.3,1.0759145319461823,1179,0.3207290533188248,5040,0.7025369389461946
0.4,1.098820686340332,1218,0.33133841131664854,5374,0.7490939503763591
0.5,1.1217268407344818,1244,0.338411316648531,5656,0.7884025648173961
0.6,1.1446329951286316,1275,0.34684439608269857,5901,0.8225536660161695
0.7,1.1675391495227814,1291,0.3511969532100109,6129,0.8543350989684974
0.8,1.1904453039169312,1302,0.35418933623503807,6287,0.8763590744354613
0.9,1.213351458311081,1313,0.3571817192600653,6419,0.8947588514078617
1.0,1.2362576127052307,1326,0.3607181719260065,6561,0.9145525508781712
