model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack
NormalityAE,54162,35197,18965,,0.7379964502613031,0.7517395089919432,1.0064480304718018,1.6854901313781738,0.22197388112545013,0.8611471652984619
NormalityAE [direct_injection],52090,35197,16893,,0.719319024133221,0.7218988633579817,1.0064480304718018,1.647318959236145,0.22197388112545013,0.6410533785820007
NormalityAE [indirect_injection],36251,35197,1054,,0.8917489841266985,0.4302715257991437,1.0064480304718018,1.854578971862793,0.22197388112545013,0.5052500367164612
NormalityAE [jailbreak],36215,35197,1018,,0.8887455552589123,0.6440426570688104,1.0064480304718018,2.143843412399292,0.22197388112545013,2.543165445327759
