model_name,n_samples,n_benign,n_attack,threshold,roc_auc,auprc,score_mean_benign,score_mean_attack,score_std_benign,score_std_attack,accuracy,precision,recall,f1,fpr,tp,fp,tn,fn
NormalityAE @ p90.0,43282,28023,15259,1.2133013010025024,0.7379583322198587,0.7530469166083305,1.0063143968582153,1.6877483129501343,0.2216651886701584,0.8903824090957642,0.7967053278499145,0.7660187777960797,0.6095419096926404,0.6788803328345681,0.10138100845733862,9301,2841,25182,5958
NormalityAE @ p90.0 [direct_injection],41610,28023,13587,1.2133013010025024,0.7192606058349262,0.7229821908217747,1.0063143968582153,1.6480827331542969,0.2216651886701584,0.641169011592865,0.7976447969238164,0.7381325467785049,0.5893869139618754,0.6554264200360125,0.10138100845733862,8008,2841,25182,5579
NormalityAE @ p90.0 [indirect_injection],28863,28023,840,1.2133013010025024,0.892118825012787,0.4340666107024775,1.0063143968582153,1.8631620407104492,0.2216651886701584,0.5026633143424988,0.8946401967917403,0.18385521401896007,0.7619047619047619,0.2962277250636427,0.10138100845733862,640,2841,25182,200
NormalityAE @ p90.0 [jailbreak],28855,28023,832,1.2133013010025024,0.8876592870828632,0.6477046765656947,1.0063143968582153,2.1584057807922363,0.2216651886701584,2.700536012649536,0.8953387627794143,0.18689181453921008,0.7848557692307693,0.3018955154877485,0.10138100845733862,653,2841,25182,179
NormalityAE @ p95.0,43282,28023,15259,1.2990636825561523,0.7379583322198587,0.7530469166083305,1.0063143968582153,1.6877483129501343,0.2216651886701584,0.8903824090957642,0.8263019268980176,0.8650381967367726,0.6010878825611115,0.7093032248085995,0.05106519644577669,9172,1431,26592,6087
NormalityAE @ p95.0 [direct_injection],41610,28023,13587,1.2990636825561523,0.7192606058349262,0.7229821908217747,1.0063143968582153,1.6480827331542969,0.2216651886701584,0.641169011592865,0.8294160057678442,0.8469682386910491,0.582910134687569,0.6905571540674863,0.05106519644577669,7920,1431,26592,5667
NormalityAE @ p95.0 [indirect_injection],28863,28023,840,1.2990636825561523,0.892118825012787,0.4340666107024775,1.0063143968582153,1.8631620407104492,0.2216651886701584,0.5026633143424988,0.9427640924366837,0.3019512195121951,0.736904761904762,0.42837370242214534,0.05106519644577669,619,1431,26592,221
NormalityAE @ p95.0 [jailbreak],28855,28023,832,1.2990636825561523,0.8876592870828632,0.6477046765656947,1.0063143968582153,2.1584057807922363,0.2216651886701584,2.700536012649536,0.9435106567319356,0.3066860465116279,0.7608173076923077,0.43715469613259667,0.05106519644577669,633,1431,26592,199
NormalityAE @ p97.5,43282,28023,15259,1.4058219194412231,0.7379583322198587,0.7530469166083305,1.0063143968582153,1.6877483129501343,0.2216651886701584,0.8903824090957642,0.8421052631578947,0.9293649984711039,0.5975489874827971,0.7274032708416434,0.02472968632908682,9118,693,27330,6141
NormalityAE @ p97.5 [direct_injection],41610,28023,13587,1.4058219194412231,0.7192606058349262,0.7229821908217747,1.0063143968582153,1.6480827331542969,0.2216651886701584,0.641169011592865,0.8465513097813026,0.9193060083837913,0.5810701405755502,0.7120631341600901,0.02472968632908682,7895,693,27330,5692
