mse_loss,contrastive_loss,loss
1.0017640250069755,0.4709340050106957,1.472698484148298
0.9813238779703776,0.2567735853649321,1.2380972362699962
0.9804323287237258,0.24679747081938244,1.2272298903692336
0.970022474016462,0.18441925730024064,1.1544415610177177
0.9754637763613746,0.16888684318179176,1.1443506876627605
0.9926584334600539,0.16016718319484166,1.1528256734212239
0.9626791817801339,0.12884859811692012,1.0915277571905226
0.9566236223493304,0.11660314741588775,1.0732270195370628
0.9577910105387369,0.1103597709110805,1.0681506565638952
0.9570460546584356,0.10507798194885254,1.0621236165364583
0.9525731404622396,0.1009823481241862,1.0535554431733631
0.962989262172154,0.10341568220229376,1.066404796781994
0.9467332930791945,0.10324516750517346,1.0499783470517112
0.944754645937965,0.0959865479242234,1.040741239275251
0.9442063286190941,0.09402405080341157,1.0382305326915922
0.9456478300548735,0.10934225718180339,1.054989950997489
0.9446345738002232,0.10610697382972353,1.0507411048525857
0.9401793706984747,0.09505548931303479,1.0352351779029483
0.9408102489653087,0.08628921281723749,1.027099336896624
0.9382920038132441,0.083237506094433,1.0215291522798085
0.9354397909981864,0.08311722959790911,1.0185572306315105
0.9447111402239118,0.07239640326727004,1.017107373192197
0.9416990734281994,0.08290252799079531,1.0246017092750186
0.9312535240536645,0.0767878634589059,1.008041018531436
0.9313098362513951,0.08016744114103772,1.011477061680385
0.9290794190906343,0.07314219361259824,1.0022214253743489
0.9306421734037853,0.06882301966349284,0.9994653065999349
0.9318974812825521,0.06650056725456602,0.9983982812790644
0.923736572265625,0.06602738017127627,0.9897639864966983
0.9241669972737631,0.06899305752345494,0.9931598844982329
0.9203845432826451,0.06365893000648135,0.9840436662946429
0.920482907976423,0.07052845046633766,0.9910115741548085
0.9170796530587333,0.06831559680757068,0.9853953406924293
0.9145584106445312,0.06480130695161365,0.9793593997047061
0.916044416881743,0.05814428556533087,0.9741885775611514
0.9108834039597284,0.05393289952051072,0.9648159572056362
0.9080877758207775,0.06658291816711426,0.97467041015625
0.9064256577264695,0.06565225124359131,0.9720780508858817
0.9055171239943731,0.061485040755498974,0.9670021420433408
0.9012319473993211,0.056787485168093725,0.9580197107224238
0.9037508283342633,0.0604867764881679,0.9642373947870164
0.894744873046875,0.048872101874578563,0.9436171395438058
0.8986638387044271,0.057179927825927734,0.9558438800630116
0.8951929183233351,0.061925893738156275,0.957118897210984
0.8944193522135416,0.05543155897231329,0.9498508998325893
0.8954730260939825,0.054244103885832284,0.9497169312976655
0.8940891992478144,0.05413225151243664,0.9482216607956659
0.8888945806594122,0.060145815213521324,0.9490406399681455
0.891404560634068,0.053921869822910855,0.9453263055710566
0.8890611557733445,0.05072448934827532,0.9397851853143602
0.8890202840169271,0.056916424206324985,0.9459368387858073
0.8842443738664899,0.05550366356259301,0.9397479466029576
0.8837058657691592,0.055389086405436196,0.9390949067615327
0.8813382103329613,0.054973210607256205,0.9363112676711309
0.8807743617466518,0.05594570863814581,0.9367202577136812
0.8777589343843006,0.05087361449287051,0.9286321912493024
0.8764336903889974,0.047390174298059376,0.9238238561721075
0.8761908213297526,0.059808299655006045,0.935999007452102
0.8767149788992745,0.04548870665686471,0.9222038813999721
0.8755683898925781,0.050892795835222514,0.926461174374535
0.8725882030668712,0.05392569587344215,0.9265137627011254
0.874131611415318,0.04746115775335403,0.9215928032284691
0.8766378675188337,0.0500980502083188,0.9267357417515346
0.8697183699834914,0.04687691870189849,0.916595458984375
0.8717806679861886,0.052666760626293364,0.9244473775227865
0.8669885907854352,0.050096750259399414,0.917085465930757
0.8700304485502697,0.05070999690464565,0.9207405816941034
0.8643338339669364,0.04696310417992728,0.9112968444824219
0.8667864118303571,0.04185120832352411,0.9086376371837798
0.8593532925560361,0.049139545077369326,0.9084929511660621
0.8663412729899088,0.04613994132904779,0.912481217157273
0.8608897981189546,0.0591839211327689,0.920073736281622
0.8874879564557757,0.12668390501113164,1.0141717819940477
1.0068567366827101,0.16832326707385836,1.175180162702288
