mse_loss,oe_loss,contrastive_loss,router_load_balance_loss,loss
1.0261673700241816,1.0487353915259952,0.4736435753958566,2.018140883672805,4.566686721075149
1.0053610120500838,1.0120000385102772,0.2203419322059268,2.0035431271507624,4.24124508812314
0.9862714494977679,0.9877992357526507,0.19105209623064315,2.0039560227167037,4.169079735165551
0.9791045415969122,0.975998288109189,0.16466207731337773,2.003873552594866,4.123637971423921
0.9761450631277901,0.9722391764322916,0.14601331665402367,2.004484085809617,4.098881312779018
0.970514660789853,0.9653113228934151,0.1414750757671538,2.006318591889881,4.083619253976004
0.970039549328032,0.962032227289109,0.11623853728884742,2.004814874558222,4.053125290643601
0.9698070344470796,0.9638751801990327,0.12032542909894671,2.008104778471447,4.062111627487909
0.9672459193638393,0.9591957273937407,0.11612359682718913,2.0045869009835378,4.047152201334636
0.9640369415283203,0.956941422962007,0.10951176143827893,2.0042671930222284,4.034757341657366
0.9602157047816685,0.9496087573823475,0.10262199810573033,2.0052637372698103,4.017710367838542
0.9570601327078683,0.9470882415771484,0.11070517131260463,2.0047839936755953,4.0196380615234375
0.9473054976690383,0.9328526996430897,0.10513450985863096,2.0045376732235862,3.9898300170898438
0.9509095691499256,0.9363784790039062,0.09862211772373744,2.003989810035342,3.9899012247721353
0.9408347720191592,0.9238034202938988,0.09547465188162667,2.003143310546875,3.963256109328497
0.9409495762416294,0.9247988746279762,0.0958655561719622,2.004111880347842,3.9657254900251115
0.9373079935709635,0.9205433073497954,0.09654754684084937,2.004437582833426,3.958836873372396
0.9385334196544829,0.9203305017380488,0.09080779552459717,2.0049803597586497,3.954652332124256
0.9349855695452008,0.9166725703648159,0.0881444840204148,2.0035729181198847,3.943375723702567
0.9346078236897787,0.9172007242838541,0.0840237992150443,2.0043629237583707,3.9401949927920388
0.93174071539016,0.9141503288632348,0.08484246617271787,2.0034241449265253,3.934158688499814
0.9320586976550874,0.9119781312488374,0.07873671963101342,2.004095713297526,3.9268697102864585
0.9308595203218006,0.9099877675374349,0.0732773428871518,2.003858112153553,3.9179818289620534
0.9259398324148995,0.9050286610921224,0.07166626907530285,2.002956208728609,3.9055913289388022
0.9272396450950986,0.90779785882859,0.08668720722198486,2.004173097156343,3.9258975074404763
0.933143070765904,0.9135481516520182,0.09446835517883301,2.0067191351027716,3.9478777930850075
0.9240355718703497,0.9033562796456474,0.07854542278108143,2.004817599341983,3.9107542492094494
0.9255016871861049,0.9052397410074869,0.07198792979830787,2.0038544791085378,3.9065838768368675
0.9231187729608445,0.9009452093215216,0.06467285610380627,2.0040577479771207,3.892794654482887
0.9213990711030506,0.8970227922712054,0.05811114538283575,2.003816695440383,3.8803489321754094
0.9187883649553571,0.8932792118617466,0.05623353662944976,2.003453390938895,3.8717553274972096
0.9193516685849145,0.8949752081008184,0.059997240702311196,2.0038880847749256,3.8782137916201638
0.9169721149262928,0.893396468389602,0.06290718487330846,2.002925509498233,3.8762010846819197
0.914628437587193,0.8900620596749442,0.058469176292419434,2.0036339532761347,3.8667940412248885
0.9205340430850074,0.8965108054024833,0.05890804245358422,2.0043812706356956,3.880335126604353
0.911956060500372,0.8867201123918805,0.05496942429315476,2.003643762497675,3.8572899954659596
0.9124565124511719,0.8878213791620164,0.05351777303786505,2.0037020728701638,3.8574967157273066
0.9120714096795945,0.8868379138764881,0.06799101829528809,2.003669012160528,3.8705702282133556
0.9186400458926246,0.8960623059953962,0.06963150274185907,2.003849756150019,3.888184320359003
0.9133658636183966,0.8890078408377511,0.066971636953808,2.0039576575869607,3.8733040945870534
0.9155996413457961,0.8928998311360677,0.06412455013820104,2.004383995419457,3.8770079839797247
0.9135051908947173,0.8883826846168155,0.05809284391857329,2.004813239687965,3.8647944132486978
0.9112622397286552,0.8837262108212426,0.050829802240644185,2.0051075163341703,3.850926717122396
0.9082913171677363,0.8829454694475446,0.058800913038707915,2.0045118786039806,3.8545499529157365
0.9078428177606492,0.8787571135021391,0.056231169473557246,2.0039329528808594,3.846765790666853
0.9053218478248233,0.878025872366769,0.058464975584120976,2.0040786379859563,3.8458920433407737
0.9059279305594308,0.8776260557628813,0.06013451871417817,2.003728775751023,3.847417195638021
0.900145485287621,0.8712159111386254,0.0597861267271496,2.004170917329334,3.835318065824963
0.8973965417771113,0.8673773266020275,0.05579010077885219,2.0044552031017484,3.825019109816778
0.8965848286946615,0.8665776025681269,0.05938920520600818,2.0049165998186385,3.8274681454613093
0.8936377934047154,0.862706048148019,0.06478097892942883,2.003629411969866,3.824753170921689
0.8930989220028832,0.8623932429722377,0.06007414772396996,2.0042186918712797,3.8197842552548362
0.8862900506882441,0.8539546784900484,0.06090114230201358,2.0046043395996094,3.8057498023623513
0.887152353922526,0.855291275751023,0.06019932883126395,2.0037423996698287,3.8063855852399553
0.886322748093378,0.8543684823172433,0.05843794345855713,2.0046170552571616,3.8037472679501487
0.8826809837704613,0.8483014787946429,0.05361901578449067,2.0035037086123513,3.7881048293340776
0.882440930321103,0.8495510646275112,0.05784073897770473,2.0051245916457403,3.794957842145647
0.9326351710728237,0.9094835008893695,0.059959002903529575,2.004241398402623,3.9063197544642856
0.8927604130336216,0.8635442824590773,0.07141732034229097,2.0057618277413503,3.8334833780924478
0.8855610802060082,0.8552654811314174,0.07182029883066814,2.0049135117303756,3.817560468401228
0.8813819885253906,0.8477562495640346,0.06141932237715948,2.004998343331473,3.7955554780505953
0.8772869110107422,0.8435199374244327,0.055130629312424434,2.0045247759137834,3.7804627191452753
0.8788548424130395,0.8442205701555524,0.05046384675162179,2.002854483468192,3.7763944353376115
0.878208977835519,0.8434625353131976,0.04881929215930757,2.0038137890043712,3.7743043445405506
0.8788476671491351,0.8439697992234003,0.05115259829021636,2.004090082077753,3.7780601864769343
0.8746422358921596,0.8404209500267392,0.0507129260471889,2.0035865420386907,3.7693626767113093
0.8793921697707403,0.8458706992013114,0.05406873566763742,2.0034862699962797,3.782816932314918
0.877340589250837,0.8450575329008556,0.058582146962483726,2.0034762791224887,3.784456525530134
0.8724736713227772,0.8369044349307105,0.04727052506946382,2.002894810267857,3.7595425560360862
0.8764583042689732,0.8416731698172433,0.049053254581633066,2.0033126104445684,3.7704976399739585
0.873545419602167,0.8383128756568545,0.0472694266410101,2.004136948358445,3.7632635207403276
0.8733418782552084,0.8379455748058501,0.04935669331323533,2.003452482677641,3.764095488048735
0.8765982673281715,0.8412267594110399,0.04849281765165783,2.003392900739397,3.7697118123372397
0.8722258068266369,0.8376781826927548,0.05214310260046096,2.0032955351329984,3.765343439011347
0.8746402377174014,0.8394723619733538,0.04764280432746524,2.0035623822893416,3.765318371000744
0.8759972708565849,0.8407383873349145,0.04728272415342785,2.0031691051664806,3.767187935965402
0.8695183708554223,0.8338973635718936,0.05353071576073056,2.0032423110235307,3.7601881481352306
