mse_loss,oe_loss,total_loss,learning_rate,weight_mse_loss,weight_oe_loss
1.1485277596166579,1.2220848212807864,2.006551322290453,0.001,0.886288046836853,0.9304594397544861
1.1129732293597723,1.0210924310199285,1.9867778713420285,0.0009999383162408303,0.921811580657959,0.9993876218795776
1.077235011731164,0.9611100665593552,1.9875236123295155,0.0009997532801828658,0.9473589658737183,1.05036461353302
1.05319440162788,0.9251655966548596,1.9873114117121293,0.0009994449374809851,0.9683834314346313,1.077866554260254
1.0402296680515095,0.9000498884815281,1.9886499178611625,0.0009990133642141358,0.9788530468940735,1.1042507886886597
1.029195817850404,0.881450588420286,1.9886603921146717,0.000998458666866564,0.984684407711029,1.1420238018035889
1.021018335374735,0.8662933090985832,1.9888476355601166,0.00099778098230154,0.9940093755722046,1.1525852680206299
1.012811951718088,0.8544697519076072,1.9890695345603813,0.0009969804777275899,1.002991795539856,1.1634601354599
1.00882636894614,0.8425878751075874,1.988923929505429,0.000996057350657239,1.0105068683624268,1.1696256399154663
1.0023192066257283,0.8364660618668895,1.9891728546659826,0.0009950118288582787,1.0143095254898071,1.1729274988174438
0.9987295764987751,0.8261412281101033,1.9889179811639301,0.0009938441702975688,1.009521484375,1.2054741382598877
0.993855945134567,0.8223581475726629,1.9881457312632416,0.000992554663077387,1.0236647129058838,1.2067829370498657
0.9901208392644333,0.8163657754154529,1.9876865451618777,0.0009911436253643444,1.0235176086425781,1.2198976278305054
0.9890283487610898,0.8092158042778403,1.9882425857802568,0.0009896114053108828,1.0219975709915161,1.2249246835708618
0.9871789318020061,0.8062289609747418,1.9884600881802834,0.0009879583809693736,1.0276598930358887,1.238383173942566
0.9838148214049258,0.8013692306259931,1.98874767756058,0.0009861849601988382,1.0338659286499023,1.231589913368225
0.9817404019630561,0.7933873968609308,1.9890513016005693,0.0009842915805643154,1.0316359996795654,1.2407050132751465
0.9814974897998875,0.7910008188021385,1.989364882646981,0.000982278709228899,1.033833622932434,1.2512692213058472
0.9764665506653867,0.7881640418101166,1.9884673296394995,0.0009801468428384714,1.0372811555862427,1.260839819908142
0.9758623414120432,0.7831328440520723,1.988729444600768,0.0009778965073991648,1.0402748584747314,1.2687156200408936
0.9742585521633342,0.7826973220049325,1.9885482788085938,0.0009755282581475766,1.0421760082244873,1.272665023803711
0.9727827815686242,0.7803807016146385,1.9889442314535886,0.0009730426794137723,1.0427415370941162,1.270510196685791
0.9704490273685779,0.7768386582196769,1.988088575460143,0.0009704403844771124,1.0457180738449097,1.2761871814727783
0.9690250461384401,0.7702576588776152,1.9895346690032443,0.0009677220154149334,1.0378552675247192,1.2810509204864502
0.9683715691000728,0.7687476206634004,1.9887475482488082,0.0009648882429441253,1.0394452810287476,1.2750598192214966
0.9691244868908898,0.772156214309951,1.988349526615466,0.000961939766255643,1.0462067127227783,1.2741601467132568
0.9683309005478681,0.7692188974154197,1.9891336731991525,0.0009588773128419901,1.0398893356323242,1.2852869033813477
0.9651605638407045,0.7659518355030125,1.9889693179373014,0.0009557016383177221,1.0589826107025146,1.277508020401001
0.9653573117013705,0.7630113504700742,1.98895263671875,0.0009524135262330093,1.0576108694076538,1.2889524698257446
0.9640897977150092,0.7590503369347524,1.9886637542207362,0.0009490137878803073,1.0515540838241577,1.2938728332519531
0.9614634109755694,0.7575253632109044,1.988242973715572,0.0009455032620941834,1.0544511079788208,1.2998777627944946
0.9612238609184653,0.7555590484101894,1.987860857430151,0.0009418828150443463,1.0572656393051147,1.3058162927627563
0.9580885030455508,0.7618492255776615,1.989728378037275,0.0009381533400219311,1.0592488050460815,1.2718753814697266
0.9620438268629171,0.7549240629551774,1.9883649147163003,0.0009343157572190951,1.0555102825164795,1.3101528882980347
0.9605242842334812,0.7540484929488878,1.9892713902360302,0.0009303710135019713,1.0506644248962402,1.3076565265655518
0.9608634043548067,0.7541010581840903,1.9900110535702462,0.0009263200821770456,1.0503219366073608,1.2874327898025513
0.9583828812938625,0.7547035217285156,1.9887801348152807,0.000922163962751007,1.0605956315994263,1.2941441535949707
0.9584728176310912,0.7504736690197961,1.988947593559653,0.0009179036806841347,1.0548430681228638,1.3119080066680908
0.9585524736824682,0.7480174565719346,1.988354052527476,0.0009135402871372803,1.0600899457931519,1.3272624015808105
0.9552226955607787,0.7436425160553496,1.9888235835705774,0.0009090748587125112,1.057647466659546,1.339563250541687
0.9552043979450807,0.7413138050144001,1.9884881488347457,0.0009045084971874732,1.0560684204101562,1.3369252681732178
0.9531108403609971,0.740243038888705,1.9883651733398438,0.0008998423292435448,1.063585638999939,1.3487218618392944
0.9529212693036613,0.7380405361369505,1.9880919375662076,0.0008950775061878446,1.0617907047271729,1.3472764492034912
0.9536269882978019,0.7388684547553628,1.9881752143471927,0.0008902152036691643,1.0651081800460815,1.328646183013916
