train_log,train_benign_log,train_attack_log,validation_log,validation_benign_log,validation_attack_log
0.8550926467119637,0.8328408063468287,0.02225191714399952,0.7525885832225178,0.7203179397763372,0.032270995155857525
0.6907757258011122,0.6618583161952132,0.028918033939296917,0.6557562356863179,0.622221385333555,0.03353523362612893
0.6305426258151814,0.6000851130081435,0.030457949234267413,0.621769393307661,0.5953296995050237,0.026439621657062647
0.5927292128740731,0.562976901814089,0.029752490884166653,0.5937288974193816,0.555300124148105,0.03842849821627281
0.5692109576726364,0.5408995353569419,0.028311149548676053,0.5706555522080009,0.5467771706006206,0.0238782981890595
0.5510967707229872,0.5231208801269531,0.0279761128506418,0.5553794482075576,0.5318413772763372,0.023538264822452627
0.5388445450087725,0.51082827681202,0.028016247991788184,0.5448714452432403,0.5185816699449616,0.026289534061513048
0.527652578838801,0.5012211233882581,0.026431259462388897,0.5371021604425237,0.5079946315034907,0.02910737788423579
0.5191101462154065,0.4926237655898272,0.02648663924912275,0.5299803821753103,0.49676816683289005,0.033212251415207596
0.5116609799659858,0.48582377676236427,0.02583731837191824,0.5299305295831487,0.508327330821513,0.02160316945249589
0.5058211956994009,0.4803613565735898,0.025459786592903783,0.5124722744556184,0.4870187745872119,0.0254531481587295
0.49703362028477555,0.472700894889185,0.024332450608075675,0.5134579994436134,0.486472776877401,0.02698523609350759
0.49106158240366793,0.46762055865788865,0.02344116720102601,0.5089318385924572,0.484124149836547,0.024807880392593133
0.48749930171643274,0.46242513494976495,0.02507423142255363,0.5060280513537972,0.4738719750803413,0.032155722309229785
0.4832117113016419,0.45881546149819585,0.02439671249712928,0.49943986175753546,0.4723270858151411,0.027112523432882684
0.4788430747339281,0.4547652551683329,0.024077726622759286,0.4987199571397569,0.46854514264045877,0.0301751188634417
0.473380913168697,0.44953288062144137,0.02384764865293341,0.4902232645814864,0.46730055933021203,0.022922867578817598
0.4692577426716433,0.4464474370924093,0.022810436911502127,0.48952114384788714,0.4652102855925864,0.02431097098276125
0.4643302852824583,0.4410908909167274,0.02323915594715183,0.4848557420374372,0.4534052494851692,0.0314504271703409
0.4635592315156581,0.4412577031022411,0.022301285953845007,0.4832133119551566,0.45833412693465575,0.02487937440263464
0.45966717348260394,0.436450085397494,0.02321718910993156,0.4808809898141992,0.4519368345292184,0.02894392081186281
0.4567425614696438,0.434208659802453,0.022533806703858458,0.47284992479545285,0.44641387434434104,0.02643626688783614
0.45510091619976495,0.4328651104943227,0.0222363027475648,0.4731025064527002,0.44843643946005096,0.024666333029456172
0.45174288345595537,0.4294029494463387,0.022340129997770665,0.4712798206518728,0.4452784472887116,0.026001337290373818
0.4506308992030257,0.42756433002019334,0.023066823765382927,0.47191758753278296,0.44280493625794176,0.02911259491111088
0.4466945842161017,0.42596277139954647,0.02073186939045534,0.47813386669113844,0.452886811384918,0.02524685916043906
0.44634453725006623,0.42495481846696237,0.021389619778778592,0.47223116827349293,0.445267336870198,0.02696396893079681
0.44352382724567996,0.4225196515099477,0.021004444461757855,0.46706922454473254,0.4412486840647163,0.02582042098890805
0.44125576342566536,0.42054890778105136,0.02070684958312471,0.46657780496223034,0.431219330916168,0.035358661173646895
0.439966007814569,0.4186052871962725,0.021360803458650233,0.46206939192246604,0.433498229259013,0.02857098680861453
0.4378729351496292,0.41731165223202465,0.020561002068600412,0.46347276764276746,0.43640580414034796,0.02706712357541348
0.4381605891858117,0.41758223711434056,0.02057848744473215,0.4575124970564606,0.4327808497363512,0.024731593210928264
0.437229447445627,0.41581128007274565,0.021417823888487734,0.4758522628892398,0.445157928106069,0.030694481328869542
0.43413078178793696,0.413722248400672,0.020408981937473102,0.46623320162437204,0.435565488558289,0.030667839320838875
0.43648328619488214,0.41515204866053695,0.021331374928102654,0.4576976226013039,0.43183794314697843,0.025859803454532128
0.4312901900986494,0.4118758056123378,0.019414487531629658,0.45489390127484114,0.4292168222702423,0.025677085768246483
0.4300181178723351,0.4104184296171544,0.019599617537805588,0.4588202798902002,0.4322109718412936,0.026609400485424286
0.43342651755122813,0.41268717232397045,0.020738941127971068,0.4535289430731014,0.427997598129525,0.02553114428869658
0.4277108402575477,0.40817567857645326,0.01953543040712001,0.45641974410830377,0.42662513678800973,0.02979480346607542
0.42684422509144926,0.4080173363119869,0.01882643820875782,0.4518789377054706,0.4245480656905659,0.027331065906136875
0.42797647896459545,0.4082932229769432,0.01968289431879076,0.4584039277782395,0.4271387772075392,0.03126530613459594
0.4274399967516883,0.40796706636073227,0.01947302939528126,0.4551334606558437,0.4286983120244164,0.026435101285893867
0.429076695846299,0.40957981044963254,0.01949711169226695,0.46288362687924794,0.43585107681599067,0.027032660536168596
0.42710915258375265,0.4072922852079747,0.019816810801877815,0.486324156993388,0.4626086079482491,0.023715806063748984
0.4246695890264996,0.405846902879618,0.01882264573695296,0.4533618178491615,0.42166447921283984,0.031697293545337436
0.4216522281452761,0.40268671714653403,0.018965664556470967,0.4486206631852098,0.4204281926436909,0.028192493087011026
0.42149314233812235,0.40317680876133805,0.01831625679791984,0.4501738852642952,0.4261914336653184,0.023982773999514026
0.42102445182153736,0.4032502578476728,0.017773925247838943,0.45856369415355347,0.4339445217845006,0.024619055132493906
0.41995526976504566,0.4024543762207031,0.017501022856114275,0.4475686003412197,0.4158349003352172,0.03173335055087475
0.4197645995576503,0.4020334017478814,0.0177312018507618,0.45131162097831706,0.42752122089936095,0.023790280587847913
0.4203858779648603,0.4013779850329383,0.019007696943768,0.4478563168933769,0.4207886319352098,0.027067432448655438
0.418294421697067,0.4009983256711798,0.01729593034517967,0.4465598969876625,0.42024541183002734,0.026314469375790715
0.4162092370502019,0.39810811058949613,0.01810129416190972,0.4662885012074283,0.44442150215166965,0.02186701709215241
0.4191405732752913,0.4015610905016883,0.01757952924502098,0.4549929571489916,0.4306032077076869,0.02438968180482833
0.41511852458371956,0.3980670541019763,0.017051844273583364,0.4612186873776411,0.4431374552120272,0.018081194965551932
0.4146681640107753,0.39787787097995564,0.016790370819932322,0.44605668160368644,0.4227789119062131,0.023277841843048167
0.4159524238715738,0.3990320755263506,0.01692038067316605,0.44685591028091753,0.4171483105237884,0.02970755917524333
0.4113916946669756,0.3944089533918995,0.01698246446706481,0.44378690967604906,0.41704900214012636,0.0267378827358814
0.41047070390087065,0.39445207886776684,0.016018782631825594,0.44622954240082,0.41665375260878396,0.02957540651867012
0.41578826257738016,0.398956751419326,0.01683133840560913,0.44373979861572843,0.41456117021276595,0.029178569784682976
0.4099182516841565,0.3931633254229012,0.016754845441397975,0.44439708087461216,0.4163527612708703,0.02804410091246837
