mse_loss,oe_loss,contrastive_loss,loss
1.0253672826857794,1.0546590714227586,0.4364613578433082,2.5164871215820312
1.0180521465483165,1.0406065441313244,0.26728294009254094,2.325941721598307
1.0176219940185547,1.0367240905761719,0.2632276217142741,2.3175733657110307
1.0248138791038877,1.0443557557605563,0.2677912257966541,2.336961110432943
1.0252275012788319,1.0291916983468192,0.1631786142076765,2.217597234816778
1.0166666848318917,1.0146738688151042,0.1804839088803246,2.211824507940383
1.0482628231956845,1.0876146952311199,0.24962952023460752,2.385507129487537
1.0298467363630022,1.0352008456275577,0.1548769814627511,2.219924745105562
1.0277889796665736,1.0275036039806547,0.10908766019911993,2.164380209786551
1.0275280362083798,1.0275214059012276,0.11460133961268834,2.169651213146391
1.0258729117257255,1.024644760858445,0.10243731453305199,2.1529553731282554
1.0246505737304688,1.0243463062104725,0.10043440546308245,2.14943113781157
1.021779287429083,1.0200214385986328,0.10456359954107375,2.146363757905506
1.0133435385567802,1.0112800598144531,0.10620588348025367,2.130829402378627
1.0022828238351005,0.9968980153401693,0.10654661768958681,2.105726877848307
1.006104242234003,1.0004127139136905,0.10717228480747767,2.113689422607422
1.0280392056419736,1.034498033069429,0.15330218133472262,2.215839385986328
1.004219236828032,1.0031192416236514,0.14334686597188315,2.1506850832984563
0.9954160962785993,0.989470708937872,0.10553812980651855,2.090424128941127
0.9928069341750372,0.9844780876522973,0.09454247497376941,2.071827843075707
0.9930249168759301,0.9856122334798177,0.08543301763988677,2.0640702020554316
0.991825194585891,0.9841349465506417,0.08407792590913318,2.060038067045666
0.9895404634021577,0.9809216998872303,0.0888895761399042,2.059351784842355
0.9884214855375744,0.9783255259195963,0.08672780082339332,2.053474607921782
0.9826077960786366,0.9732365381150019,0.0852002359571911,2.0410445077078685
0.9773415156773159,0.9653899783179873,0.08306085495721727,2.0257926214308966
0.9749399820963541,0.9619793664841425,0.08185340109325591,2.018772488548642
0.9743533361525762,0.9607510339646113,0.07617870966593425,2.011282966250465
0.9715791429792132,0.9573848361060733,0.0767793371563866,2.0057434808640253
0.9768380664643788,0.9620650155203683,0.08448456014905657,2.0233877272832963
0.9714771452404204,0.957035882132394,0.0654908191590082,1.9940040225074405
0.9699717930385044,0.9554580506824312,0.06802845001220703,1.993457975841704
0.9718707856677827,0.9592069898332868,0.07657129423958915,2.0076491946265813
0.9709746951148623,0.9561225346156529,0.06890569982074556,1.9960027422223772
0.9703861418224516,0.9558155423118955,0.07137250900268555,1.9975743974958147
0.9663913363502139,0.9508497147333055,0.06741868881952195,1.984659649076916
0.9644173213413784,0.9485211145310175,0.06743478207361131,1.9803733825683594
0.9621249607631138,0.947601318359375,0.0770231598899478,1.9867497398739768
0.958100364321754,0.9418174198695591,0.07644141288030715,1.9763590494791667
0.9566195351736886,0.9390568506150019,0.07319609891800653,1.9688720703125
0.9508873167492095,0.9345499674479166,0.07236312116895403,1.9578003656296503
0.9519342694963727,0.9337247212727865,0.07381790592556908,1.9594770159040178
0.9529637836274647,0.9332280840192523,0.07075925668080647,1.9569507780529203
0.9460956028529576,0.9273924146379743,0.08210266204107375,1.9555911109561013
0.942870094662621,0.9204198746454149,0.07256666251591273,1.9358567737397694
0.9404592968168712,0.9180179777599516,0.06624399480365571,1.9247207641601562
0.9401005336216518,0.9204742794945127,0.07546293167840867,1.936037336077009
0.9393666585286459,0.9165249779110863,0.06590382258097331,1.921795436314174
0.9335496993291945,0.9117576962425595,0.06668285528818767,1.9119902111235119
0.9353735787527901,0.9129037402925038,0.07013691039312453,1.918414524623326
0.9309431711832682,0.9069506327311198,0.0650608085450672,1.902954828171503
0.9276881445021856,0.903992698306129,0.06871623084658668,1.9003973461332775
0.9269069489978609,0.9029967898414248,0.06666988418215797,1.896573747907366
0.927000954037621,0.901895250592913,0.06992723828270322,1.8988231477283297
0.9232330322265625,0.8988380432128906,0.06475980508895147,1.886830829438709
0.9242523738316127,0.8991373152959914,0.06595453194209508,1.8893441699800038
0.9243396577380952,0.9006396702357701,0.06822183018638975,1.8932013738723028
0.924280529930478,0.8987546648297992,0.059834593818301245,1.8828699021112352
0.9226766313825335,0.8954500470842633,0.05971654256184896,1.8778430393763952
0.9220086960565477,0.8970771971203032,0.05639578047252837,1.8754810151599703
0.9216725485665458,0.8971591222853887,0.06065134775070917,1.879483904157366
0.9194009871709914,0.8934974670410156,0.050396476473127096,1.8632948739188058
0.9202448527018229,0.8943499610537574,0.05419086274646577,1.868785131545294
0.9188759213402158,0.8922318958100819,0.05163856347401937,1.862746102469308
0.920322509039016,0.8942948295956566,0.05553950014568511,1.8701571509951638
0.917595454624721,0.8914307185581752,0.04991646040053595,1.8589426676432292
0.9212686447870164,0.8946773892357236,0.0499967166355678,1.8659424554734003
0.917089098975772,0.8905441647484189,0.05336525326683408,1.8609980628603982
0.9162015460786366,0.889188948131743,0.04654182138897124,1.8519327072870164
0.9144467853364491,0.8876174745105562,0.04494363069534302,1.8470077514648438
0.9153436024983724,0.8909935724167597,0.057730856395903085,1.8640681675502233
0.9145794823056176,0.8886060260591053,0.05211678005400158,1.85530271984282
0.9141653151739211,0.8867713383265904,0.05058137575785319,1.8515187218075706
0.9115929376511347,0.885819571358817,0.05185656888144357,1.8492689586821056
0.9132405235653832,0.8879700615292504,0.06359713418143136,1.8648080371675038
0.9113476162865048,0.8847380138578869,0.06218433947790237,1.8582696460542225
0.9114734104701451,0.8857480911981492,0.0627440441222418,1.859965551467169
0.9140677679152716,0.8886280968075707,0.062212932677496044,1.8649090358189173
0.9085279192243304,0.8835591815766835,0.06615316867828369,1.8582398550851005
0.9115221840994698,0.8831940605526879,0.05658380758194696,1.8513001941499256
0.9093907674153646,0.8815455663771856,0.05094420342218308,1.8418807983398438
0.9114613305954706,0.8856330144973028,0.07054102420806885,1.8676358177548362
0.9129206339518229,0.8869296482631138,0.07507430939447313,1.8749249776204426
0.9088382720947266,0.882423582531157,0.07180494353884742,1.863066900344122
0.9097423553466797,0.8825805300757998,0.07020109608059838,1.8625246683756511
0.9074741545177641,0.8807894388834635,0.06500934986841111,1.8532727559407551
0.9080490838913691,0.8809105101085845,0.06685573714120048,1.855815160842169
0.9075885046096075,0.8790303184872582,0.07528863634381976,1.861907232375372
0.901317868913923,0.8726971035911923,0.05875736758822486,1.8327723911830358
0.9027167728969029,0.8724187215169271,0.05257852872212728,1.827714102608817
0.8989139738537016,0.8667841411772228,0.05362809839702788,1.8193261282784599
0.8983808244977679,0.8676439921061198,0.06045657112484887,1.8264815920875186
0.8968712034679595,0.8661974044073195,0.07053337210700625,1.8336019970121837
0.8969742911202567,0.8659640720912388,0.05726732526506696,1.820206051781064
0.8913602374848866,0.8595724559965587,0.05709976241702125,1.8080320812406994
0.8960767473493304,0.8636936914353144,0.05507264250800723,1.8148431323823475
0.8890172867547899,0.8577689216250465,0.059277954555693124,1.8060644240606398
0.8865054902576265,0.8541121709914434,0.05394647802625384,1.7945640200660342
0.888779049827939,0.8547435942150298,0.04673905032021659,1.7902615865071614
0.8858925047374907,0.8527339753650484,0.055506297520228794,1.7941325959705172
0.8846354711623419,0.8518453325544085,0.0518722136815389,1.7883529663085938
0.8865135737827846,0.8546122596377418,0.06386889730181013,1.8049943106515067
0.881478264218285,0.8500586918422154,0.0661664122626895,1.7977035159156436
0.8875665210542225,0.856255122593471,0.07559267112186976,1.8194142296200706
0.8857887813023159,0.852675301688058,0.06423099268050421,1.8026947748093378
0.8808378492082868,0.849690664382208,0.07128133660271055,1.8018104916527158
0.8853995913550967,0.8548819224039713,0.07990319955916632,1.8201849801199776
0.8807666415259952,0.8488498869396391,0.06670522689819336,1.7963220505487352
0.8779086158389137,0.844108399890718,0.05834477856045678,1.7803619021461123
0.8763319651285807,0.8439368293398902,0.06178670270102365,1.7820550827752977
0.8725467863537016,0.840562275477818,0.06742480822971889,1.780533200218564
0.871999013991583,0.838400159563337,0.07311396371750604,1.7835130237397694
0.8722728547595796,0.8359154292515346,0.07049721763247535,1.7786848885672433
0.8686284564790272,0.8340148017519996,0.06669124535151891,1.7693343389601934
0.8666080293201265,0.8299574170793805,0.06669267586299352,1.763258071172805
0.8635961441766649,0.8259180159795851,0.06220320292881557,1.7517173403785342
0.86295409429641,0.8247996738978794,0.05795179094587054,1.7457057407924108
0.8633297511509487,0.8245812370663598,0.06426907153356642,1.7521803719656808
0.8589269547235399,0.8207916078113374,0.05288802442096528,1.732606433686756
0.8594880785260882,0.8190485636393229,0.049869020779927574,1.7284059070405506
0.8582662854875837,0.8182223183768136,0.05300421941848028,1.7294932774135046
0.8560108003162202,0.8163536616734096,0.04952142919812884,1.7218858628045945
0.8536815643310547,0.8167518434070405,0.06014962991078695,1.7305828276134672
0.8526043664841425,0.8126170748756045,0.04903985772814069,1.7142606462751115
0.8547611236572266,0.8144167037237258,0.05200732889629546,1.7211848667689733
0.8517481486002604,0.8109515962146577,0.04896594229198638,1.7116655622209822
0.8525249844505673,0.8106874738420758,0.05567751611982073,1.7188900538853236
0.8512413388206845,0.8102867489769345,0.058708996999831425,1.7202366420200892
0.8463303702218192,0.8056449890136719,0.05656705583844866,1.708542233421689
0.8477052961077008,0.8065336318243117,0.05539350282578241,1.7096321469261533
0.8545677548363095,0.8169525691441127,0.09567674001057942,1.7671973818824405
0.8477274576822916,0.8096131824311756,0.07852543535686675,1.7358665466308594
0.8476356324695405,0.8098351614815849,0.08280221621195476,1.7402730669294084
0.8514230818975539,0.8104505993071056,0.07025946321941558,1.7321332295735676
0.8463280087425595,0.803167978922526,0.05253691900344122,1.7020325433640253
0.8412797110421317,0.7973641895112538,0.055964543705894834,1.694608415876116
0.8434500921340216,0.8010239374069941,0.056352127166021435,1.7008256458100819
0.843094961983817,0.8007224854968843,0.049099757557823545,1.6929166884649367
0.8402946108863467,0.7963118780226934,0.050227511496770946,1.6868342445010232
0.8385987054734003,0.7956062498546782,0.04764070397331601,1.6818453470865886
0.8407184055873326,0.7967765444800967,0.04851337273915609,1.6860082717168898
0.8381498427618117,0.7963866279238746,0.05585987794966925,1.6903962634858631
0.8395778111049107,0.7971616472516742,0.05934750466119675,1.6960872468494235
0.8390523819696336,0.7949298676990327,0.047744739623296825,1.6817267281668526
0.8393987928118024,0.7958176930745443,0.05341135320209321,1.688627697172619
0.8383395785377139,0.7964917137509301,0.06083708717709496,1.6956678118024553
0.8356744675409227,0.7927515847342355,0.05281136149451846,1.6812373570033483
0.8378708249046689,0.7957072485060919,0.06910136200132824,1.7026795886811756
0.8404246738978794,0.7988607315790086,0.06484853653680711,1.704134259905134
