mse_loss,oe_loss,loss
0.9761146363757905,1.0076715378534227,1.9837853567940849
0.9221517472040086,0.9237024216424852,1.845854259672619
0.8685244605654762,0.8641706194196429,1.7326947166806175
0.8236666179838634,0.8066537039620536,1.6303205944242931
0.7824054899669829,0.7591641289847237,1.5415696643647694
0.7516898654756092,0.7278835659935361,1.4795733860560827
0.7327235993884859,0.6943989708310082,1.4271227518717449
0.7125082924252465,0.6721701394943964,1.3846786135718936
0.6956569126674107,0.6551487786429269,1.3508057367234003
0.6816462108067104,0.6362676620483398,1.3179136912027996
0.667521840050107,0.6182597932361421,1.2857817695254372
0.6567039035615467,0.6031800224667504,1.259883789789109
0.6484889530000233,0.5912731715611049,1.239762442452567
0.6401789983113607,0.5797790345691499,1.219958259945824
0.6313959303356352,0.5708326612200055,1.2022286369687034
0.6244028182256789,0.558503060113816,1.1829061054048085
0.6180849075317383,0.5499330248151507,1.1680177052815754
0.612359228588286,0.5411846524193173,1.153543926420666
0.6081217811221168,0.5331130254836309,1.141234624953497
0.6032645361764091,0.5262428465343657,1.1295072464715867
0.5997966130574545,0.5239165623982748,1.1237135387602306
0.5947684333437965,0.5172980172293526,1.1120665413992745
0.5913523719424293,0.5139725094749814,1.105325153895787
0.5868798210507348,0.5085223515828451,1.0954021272205172
0.5847095307849702,0.502406120300293,1.0871155148460752
0.581168946765718,0.5020768301827567,1.083245141165597
0.5769028890700567,0.49297005789620535,1.0698731740315754
0.5740468615577334,0.49268082209995817,1.066727774483817
0.5724113101050967,0.48698911212739493,1.0594002859933036
0.5709370658511207,0.483989261445545,1.0549261002313524
0.5680233637491862,0.4789531798589797,1.0469767252604167
0.5668936229887462,0.47438676016671316,1.0412804739815849
0.5629750206356957,0.47254457927885507,1.035519736153739
0.5620189848400298,0.4694440478370303,1.031462896437872
0.5594595500401088,0.46642044612339567,1.0258798145112538
0.5563686461675734,0.4584240232195173,1.0147925785609655
0.5543485823131743,0.45693079630533856,1.0112794240315754
0.5534626642862955,0.4577088128952753,1.0111715225946336
0.5532053538731166,0.4576791581653413,1.0108844212123327
0.5516455968221029,0.4525234131585984,1.0041687375023252
0.5473189581008184,0.45463166918073383,1.0019504910423642
0.5470746358235677,0.4463796161469959,0.9934542519705636
0.547516595749628,0.4458377020699637,0.9933544340587798
0.5445201056344169,0.4542467480614072,0.9987668536958241
0.5443629310244605,0.44101029350644066,0.9853733607700893
