mse_loss,contrastive_loss,diversity_loss,loss
0.9984340667724609,0.4480049496605283,-0.1204651537395659,1.3259736015683128
0.9835629236130488,0.2581318900698707,-0.13778603644598097,1.1039086296444847
0.975225357782273,0.20634832836332775,-0.13694322676885695,1.0446305956159319
0.9665213993617466,0.1589027586437407,-0.14182803744361513,0.983596438453311
0.9682901473272414,0.1480273519243513,-0.14111485935392834,0.9752027420770555
0.965318134852818,0.14694796289716447,-0.14145725114004953,0.9708084833054316
0.9676399230957031,0.12244999976385207,-0.14164959816705613,0.9484402792794364
0.9596257890973773,0.10575952984037854,-0.14210176467895508,0.9232833499000186
0.9653183165050688,0.10111111686343238,-0.14241400219145275,0.9240155901227679
0.9573125385102772,0.09913609141395205,-0.14240251268659318,0.914046151297433
0.9614740099225726,0.09523910567874,-0.14239903858729772,0.9143138158889044
0.9581292470296224,0.1035790897551037,-0.14219177336919875,0.9195163363502139
0.9591092609223866,0.09311869030907041,-0.1423645473661877,0.9098631540934244
0.9698925926571801,0.11727563540140788,-0.14138946079072498,0.9457787105015346
0.9894135793050131,0.1578526496887207,-0.1416072958991641,1.0056590125674294
1.0337433587937128,0.2594859032403855,-0.1422872089204334,1.1509418487548828
0.9946981157575335,0.11545161973862421,-0.14260365849449522,0.9675460997081938
0.9916011265345982,0.09429110231853667,-0.14255759829566592,0.9433347611200242
0.9793205261230469,0.08076771100362141,-0.1424988110860189,0.9175895509265718
0.9594395047142392,0.07534913221995036,-0.14254807290576754,0.8922410692487445
0.9554796673002697,0.07543996969858806,-0.1426909537542434,0.8882285526820591
0.9528262728736514,0.06428696428026472,-0.14274582408723377,0.8743675776890346
0.9513285500662667,0.06514746234530494,-0.14275037674676805,0.873725346156529
0.9490548088437035,0.0606168338230678,-0.14274869646344865,0.8669230143229166
0.9482768830798921,0.06327433245522636,-0.14276917775472006,0.8687819526309059
0.9471743447440011,0.06060756388164702,-0.1427764892578125,0.8650057656424386
0.9462550027029855,0.06507439272744316,-0.1427744570232573,0.8685549781436012
0.9430323101225353,0.06769675867898124,-0.14279836700076148,0.8679308210100446
0.9400238763718378,0.056708057721455894,-0.14279876436505998,0.8539334251767113
0.9368704841250465,0.06239006632850284,-0.14281514712742396,0.8564451308477492
0.9332824888683501,0.048434365363348095,-0.14281809897649855,0.838898431687128
0.9317000252859933,0.05270444211505708,-0.14281631651378812,0.8415884290422712
0.9292601630801246,0.05274482000441778,-0.14282615979512533,0.8391789935884022
0.9285653432210287,0.053293949081784205,-0.1428193137759254,0.839040029616583
0.928220930553618,0.05979119596027192,-0.14279878707159133,0.845213118053618
0.9255638122558594,0.055911773727053686,-0.1428051789601644,0.8386702764601934
0.9224027906145368,0.05354819411323184,-0.1428201539175851,0.833130881899879
0.9187056223551432,0.04841337885175433,-0.1428215957823254,0.8242976779029483
0.9180269695463634,0.05277871517908005,-0.14281208174569265,0.8279933929443359
0.9156436920166016,0.047450445947192964,-0.14282419568016416,0.8202699025472006
0.9140208108084542,0.05260340940384638,-0.14282056263514928,0.8238038562593006
0.9130825769333613,0.048102889742170064,-0.14282306035359701,0.8183622814360119
0.9138963790166945,0.04951543467385428,-0.14282168660845077,0.8205902462913877
0.9107052939278739,0.05907303946358817,-0.14282383237566268,0.8269547053745815
0.9115281786237445,0.06189918518066406,-0.14281163896833146,0.8306156340099516
0.9103293645949591,0.05802084718431745,-0.14282629603431338,0.8255238305954706
0.908396493820917,0.04942693029131208,-0.1428236620766776,0.8149998074486142
0.9066965920584542,0.04730412222090222,-0.14282782872517905,0.8111726670038133
0.9065314701625279,0.04476441372008551,-0.14283343723842076,0.808462415422712
0.9059381939115978,0.04298861537660871,-0.1428354127066476,0.8060912177676246
0.9040130433582124,0.0450504081589835,-0.14283562841869535,0.8062277294340587
0.9051760718936012,0.04654806852340698,-0.14283543541317895,0.8088888440813337
0.9014760880243211,0.04994332790374756,-0.1428345271519252,0.8085846673874628
0.9011268615722656,0.051592293239775155,-0.1428381601969401,0.8098809378487724
0.902101335071382,0.04719933725538708,-0.1428384326753162,0.806462151663644
0.8941522325788226,0.042488311018262594,-0.14283929552350724,0.7938013530912853
0.8918250855945405,0.04617563031968616,-0.14284118016560873,0.7951593853178478
0.8930029187883649,0.05072139558337983,-0.1428407828013102,0.8008837018694196
0.891478493100121,0.04296404407137916,-0.14283974965413412,0.7916027250744048
0.887350354875837,0.04185826721645537,-0.14284056708926246,0.7863682338169643
0.889621825445266,0.04342383146286011,-0.1428391479310535,0.7902064550490606
0.8876742408389137,0.04372295027687436,-0.1428398404802595,0.788557597569057
0.8882295517694383,0.0509375844682966,-0.14284088498070127,0.7963263193766276
0.8871533530099052,0.041892261732192265,-0.14284091904049828,0.7862044743129185
0.8838223048618862,0.04807054428827195,-0.14284062385559082,0.789052236647833
0.8855624425978887,0.0512715634845552,-0.14284305345444454,0.7939912705194383
0.8822825295584542,0.04719981976917812,-0.1428427809760684,0.7866392589750744
0.8828867957705543,0.05766010284423828,-0.14284154347011022,0.7977054232642764
0.8792762756347656,0.03856906720570156,-0.14284329187302364,0.7750018891834077
0.8794615609305245,0.03934297959009806,-0.1428424630846296,0.7759620121547154
0.8758084433419364,0.041434009869893394,-0.14284311022077287,0.7743992578415644
0.874457041422526,0.041199459916069395,-0.14284452937898182,0.7728120713006883
0.8732131776355562,0.03677949167433239,-0.14284476779756092,0.7671477908179873
0.873805182320731,0.042523395447503956,-0.1428448926834833,0.7734835488455636
0.8692976633707682,0.03998162916728428,-0.14284416607448033,0.766435078212193
0.867450441632952,0.04732301973161243,-0.142844904036749,0.7719284239269438
0.8673536209833055,0.05832864556993757,-0.14284331457955496,0.7828390030633836
0.8661807832263765,0.046734540235428584,-0.14284332593282065,0.7700718470982143
0.8612046922956195,0.039489967482430596,-0.14284450667245047,0.7578502836681548
0.8605785369873047,0.047817048572358634,-0.1428456192924863,0.7655499776204427
0.8615830739339193,0.042646867888314385,-0.14284580094473703,0.761384055728004
0.8576691945393881,0.04495797838483538,-0.14284573282514298,0.759781247093564
0.8534782046363467,0.04582928475879487,-0.14284364382425943,0.7564639591035389
0.850745609828404,0.04130662339074271,-0.14284220195951916,0.7492100397745768
0.8505936577206566,0.0450950889360337,-0.14284390494936988,0.7528448558989025
0.8479694184802827,0.045590034552982876,-0.1428442569006057,0.7507151649111793
0.8458629789806548,0.03933975526264736,-0.1428438595363072,0.7423589343116397
0.8437945048014323,0.040747426805042085,-0.14284451802571616,0.7416974476405552
0.8466616131010509,0.06061369464510963,-0.14283964747474306,0.7644357227143788
