mse_loss,oe_loss,diversity_loss,loss
0.9697639828636533,0.9973458789643788,-0.13399330774943033,1.8331166221981956
0.8932859329950242,0.8923590523856026,-0.14043251673380533,1.645212627592541
0.8434804280598959,0.8352117084321522,-0.14127684774852933,1.5374154590425038
0.8080191839308966,0.790979476202102,-0.14181814874921525,1.457180386497861
0.778600601922898,0.7536551611764091,-0.14206238020034062,1.3901931217738561
0.7554365339733305,0.7292571294875372,-0.14215333121163504,1.342540559314546
0.7377593630836123,0.7006805056617373,-0.14225801967439197,1.2961819966634114
0.7226529802594867,0.6853312991914295,-0.14234157970973424,1.265642801920573
0.7100605737595331,0.6705398559570312,-0.14240767842247373,1.238193148658389
0.7002431324550084,0.6567900067283994,-0.14245974449884324,1.2145735422770183
0.6908892222813198,0.6412276767549061,-0.14248094104585193,1.189635503859747
0.6835436139787946,0.6297037942068917,-0.1425033069792248,1.1707442147391183
0.6747777121407645,0.6222857974824452,-0.1425245035262335,1.1545387449718656
0.6701319558279855,0.614401136125837,-0.1425334612528483,1.1419996534075056
0.6652640842256092,0.6082532973516555,-0.14255437396821521,1.1309630076090496
0.6607565652756464,0.5999170030866351,-0.14255646296909877,1.1181172870454335
0.6541429701305571,0.5916948772612072,-0.14256232125418528,1.1032755715506417
0.6516375768752325,0.5879115150088355,-0.14255634943644205,1.0969927651541573
0.6476268768310547,0.5809264864240374,-0.1425629002707345,1.0859903608049666
0.6437234878540039,0.5710190818423316,-0.14257684208097912,1.07216553460984
0.6407935278756278,0.5692207245599656,-0.14256435348874047,1.0674497513543992
0.6365270160493397,0.5636021750313895,-0.14257060913812547,1.0575587863013858
0.632028443472726,0.5597079140799386,-0.14257554780869258,1.0491605486188615
0.6283191045125326,0.5516790662493024,-0.14257058643159412,1.0374274480910528
0.6236666724795387,0.5480836232503256,-0.14258629935128347,1.0291639963785808
0.6204288119361514,0.542575927007766,-0.14257803417387463,1.0204266139439173
0.6177596591767811,0.5380778085617792,-0.14258104278927758,1.0132564363025485
0.615462166922433,0.5346541631789434,-0.14258170127868652,1.007534390404111
0.6142344701857794,0.5319003150576637,-0.14258331344241187,1.0035514831542969
0.6109729494367327,0.5292917433239165,-0.1425785677773612,0.9976859319777716
0.6089338120960054,0.5226938156854539,-0.14257987340291342,0.9890475500197637
0.6082525707426525,0.5209020432971773,-0.14258167857215517,0.986572992234003
0.6038696198236375,0.5161051523117792,-0.14257829529898508,0.9773966471354166
0.6016729445684523,0.5139313652401879,-0.14258340426853724,0.9730209168933687
0.6001972470964704,0.513279642377581,-0.14258391516549246,0.9708927699497768
0.5960797809419178,0.5071926571073986,-0.1425875709170387,0.9606850033714658
0.5936251140776134,0.5018013545445034,-0.1426021485101609,0.9528240930466425
0.5917157672700428,0.4987017313639323,-0.14260168302626836,0.9478160313197544
0.5901258105323428,0.4971839813959031,-0.14260245504833402,0.9447071438743955
0.5902641841343471,0.4950556982131231,-0.14259235064188638,0.9427274068196615
0.5889107840401786,0.498369262332008,-0.14259451911562965,0.944685527256557
0.5876140140351795,0.49781136285691036,-0.1425986857641311,0.9428267706008184
0.5862652460734049,0.489702270144508,-0.14260774567013695,0.933359872727167
0.5827718462262835,0.4907285599481492,-0.1426093124207996,0.9308910369873047
0.5826336542765299,0.4843056542532785,-0.1426046575818743,0.9243345714750744
0.5793959299723307,0.48116856529599145,-0.1426146938687279,0.9179495856875465
0.5792416617983863,0.4838032949538458,-0.14260651951744444,0.9204384031749907
0.5783124197097051,0.47882098243350074,-0.1426118782588414,0.9145215352376302
0.575068473815918,0.47665328071230934,-0.142610232035319,0.9091114770798456
0.575969241914295,0.4765967414492652,-0.14261974607195174,0.9099460783458891
0.5739515395391555,0.47473212650844027,-0.14261522747221447,0.9060684385753813
0.5723860150291806,0.47063028244745164,-0.14263095174516952,0.9003856295631045
0.5708638145810082,0.4701817376273019,-0.1426341420128232,0.898411614554269
0.5704451969691685,0.46878038133893696,-0.14262921469552176,0.8965962727864584
0.5698481968470982,0.4670280729021345,-0.14262116523016066,0.8942552294049945
0.5689831234159923,0.4669258480980283,-0.14262515022641137,0.8932838439941406
0.5665414901006789,0.46212228139241535,-0.14264162381490073,0.886022476922898
0.5673113777523949,0.46578257424490793,-0.14262914657592773,0.8904648735409691
0.5653063456217448,0.4602355048769996,-0.14263842219398135,0.8829035077776227
0.5635395958310082,0.4579286575317383,-0.14264199847266787,0.8788261413574219
0.5628661201113746,0.4582875569661458,-0.1426380475362142,0.8785157884870257
0.5610043207804362,0.45684814453125,-0.14263894444420225,0.875213623046875
0.5618459610711961,0.4546545119512649,-0.1426380134764172,0.8738625844319662
0.5595623652140299,0.4518983477637881,-0.14264321327209473,0.8688173748198009
0.5604088647024972,0.4540667760939825,-0.14264277049473353,0.8718327113560268
0.5581503368559337,0.45106905982607887,-0.14264090855916342,0.8665786924816313
0.5594205856323242,0.45123218354724703,-0.1426456201644171,0.8680073874337333
0.5582737695603144,0.45210901896158856,-0.14263691220964705,0.8677457173665365
0.5561914898100353,0.4469058627174014,-0.14265217099870955,0.8604451134091332
0.5549056643531436,0.44602820986793157,-0.14265521367390951,0.8582785470145089
0.5561504364013672,0.4485672087896438,-0.14263990947178432,0.8620778038388207
0.5545261019752139,0.44774405161539715,-0.14264835630144393,0.8596219562348866
0.5543132509504046,0.4450046448480515,-0.14264611970810664,0.8566719236828032
0.5515466417585101,0.4431784947713216,-0.14265755244663783,0.8520672207786923
0.5538746970040458,0.4463274819510324,-0.14264733450753347,0.8575545719691685
0.5513311113630023,0.4424247287568592,-0.14264917373657227,0.8511070978073847
0.5507151285807291,0.443781988961356,-0.1426560538155692,0.8518411545526414
0.5499253954206195,0.44127691359747023,-0.14264510926746188,0.8485573359898159
0.5496704464867002,0.43746185302734375,-0.14265503202165877,0.844477063133603
0.5480083738054548,0.4375879196893601,-0.14266240029107957,0.8429339272635323
0.5473587399437314,0.43557021731422063,-0.1426599593389602,0.8402688162667411
0.5465997968401227,0.43518693106515066,-0.1426647844768706,0.8391221364339193
0.5452621096656436,0.4327594212123326,-0.1426625478835333,0.8353590284075055
0.5464376722063337,0.43413225809733075,-0.14266671453203475,0.8379032498314267
0.5449381782895043,0.4339631852649507,-0.1426695187886556,0.8362320491245815
0.5472436178298223,0.4426568803333101,-0.14265126273745582,0.847249258132208
0.5440735135759626,0.43205747150239493,-0.14266557920546757,0.833465576171875
0.5425509952363514,0.4281195231846401,-0.14265706425621397,0.8280136471702939
0.5419587634858631,0.4310354051135835,-0.14266090166001094,0.83033325558617
0.5417297454107375,0.42795008704775855,-0.1426648980095273,0.8270148322695777
0.5422686622256324,0.42715767451695036,-0.1426724252246675,0.8267536163330078
0.5400764828636533,0.42644078390938894,-0.14267228898547946,0.8238450004940941
0.5389546893891835,0.4239894776117234,-0.1426683153424944,0.8202758062453497
0.5378968829200381,0.422443844023205,-0.14267630804152714,0.8176644643147787
0.538174447559175,0.42242967514764695,-0.1426710401262556,0.8179334004720052
0.5369828542073568,0.4215647379557292,-0.14267357190450033,0.8158742813836961
0.5369269053141276,0.42153176807221915,-0.1426597549801781,0.8157990773518881
0.5367669605073475,0.4215857187906901,-0.1426683153424944,0.8156845456077939
0.536981083097912,0.4202014378138951,-0.1426698707398914,0.8145127069382441
0.5375353949410575,0.42718855539957684,-0.14265299978710355,0.8220710754394531
0.5383708136422294,0.42859032040550593,-0.14266738437470936,0.8242937723795573
0.5371207282656715,0.4252610887799944,-0.14267478670392716,0.8197071438743955
0.5386635008312407,0.427274295261928,-0.14266247976393925,0.8232752482096354
0.536158834184919,0.4211130596342541,-0.14266372862316312,0.8146080743698847
0.5347293217976888,0.41813864026750835,-0.14266984803336008,0.8101980118524461
0.5337894076392764,0.4164427802676246,-0.14267698923746744,0.807555153256371
0.5332477660406203,0.41754649934314547,-0.14266833804902576,0.8081255413237072
0.5323261987595331,0.417553947085426,-0.1426817121959868,0.8071982974097842
0.5316989535377139,0.41483988080705914,-0.14267785208565847,0.8038608006068638
0.5301448277064732,0.41469937279110863,-0.14268006597246444,0.8021640777587891
0.5296292077927363,0.41290360405331566,-0.1426840282621838,0.7998489198230562
0.5302636282784599,0.41521880740211126,-0.14267789749872117,0.8028044927687872
0.5302973247709728,0.41267276945568265,-0.1426848911103748,0.800285157703218
0.5302971431187221,0.41429578690301805,-0.1426745369320824,0.8019183930896577
0.5296149480910528,0.4126573290143694,-0.1426837898436047,0.7995882488432384
0.5291830698649088,0.41230347042992,-0.14267927124386742,0.7988072349911645
0.5293130420503163,0.4114953449794224,-0.14267432122003465,0.798134031749907
0.5293861116681781,0.41310596466064453,-0.1426807585216704,0.7998115902855283
0.5282836641584124,0.413334710257394,-0.14267757960728236,0.7989410218738374
0.5269903909592402,0.40799844832647414,-0.14268981842767625,0.7922988164992559
0.5258248192923409,0.40871247791108634,-0.1426833130064465,0.7918539501371837
0.5255705515543619,0.40623228890555246,-0.1426911581130255,0.7891115461077008
0.5252316338675362,0.40546648842947824,-0.14268926211765834,0.7880089169456845
0.5245329993111747,0.40488238561721074,-0.14269220261346727,0.7867230914887928
0.5250916253952753,0.4059518178304036,-0.14268818355741955,0.788355236961728
0.5237753731863839,0.4031944729032971,-0.14269149871099562,0.7842781430199033
0.523117428734189,0.4029174532209124,-0.14269188472202846,0.7833429064069476
0.5240742819649833,0.4025545574369885,-0.14269849232264928,0.783930188133603
0.5224208831787109,0.402143432980492,-0.14269631249564035,0.7818680717831566
0.5225386846633184,0.4015567870367141,-0.14268736612229121,0.781408219110398
0.5243726003737676,0.4043708528791155,-0.14268054280962264,0.7860629672095889
0.5231873194376627,0.40543011256626676,-0.14268965948195683,0.7859279087611607
0.5236919948032924,0.40635099865141366,-0.14268185978844053,0.7873611450195312
0.5250034332275391,0.41089017050606863,-0.14267792020525252,0.7932156154087612
0.5243770054408482,0.4063701175508045,-0.142683778490339,0.7880635034470331
0.5232969465709868,0.40569945744105745,-0.14268279075622559,0.7863134656633649
0.5230232874552408,0.40468084244501024,-0.14269061315627324,0.7850134713309151
0.522073609488351,0.40269215901692706,-0.14269380342392696,0.7820718856084914
