mse_loss,oe_loss,router_load_balance_loss,diversity_loss,contrastive_loss,loss
1.0241615658714658,1.0498943328857422,2.0230874561128163,-0.10080578213646299,0.46590164729527067,4.462238856724331
1.0020242418561662,1.0057933444068545,2.003350394112723,-0.1302166439238049,0.22210168838500977,4.1030516851516
0.98283813113258,0.9827416737874349,2.0069387526739213,-0.13196475165230886,0.18226621264503115,4.022818792433966
0.9740226382300967,0.9709864116850353,2.005821954636347,-0.13375499134971983,0.18189312162853422,3.998968941824777
0.970320565359933,0.9642670041038877,2.006831396193731,-0.13458899089268275,0.16608754793802896,3.9729192824590776
0.9629472096761068,0.957533427647182,2.006270272391183,-0.13637750489371164,0.15750256038847424,3.947875249953497
0.9578416915166945,0.9490367344447544,2.006274087088449,-0.1354862848917643,0.14773724192664736,3.925403050013951
0.9481660752069383,0.936777841477167,2.0030975341796875,-0.13557846205575125,0.14980216253371464,3.902264186314174
0.9425859905424572,0.9304162888299852,2.0007197062174478,-0.13570740109398252,0.14769349779401506,3.8857084001813615
0.9382581256684803,0.923677262805757,2.0016272408621654,-0.13542185510907853,0.14149820236932664,3.869637988862537
0.9328092847551618,0.9168986365908668,2.0033861796061196,-0.1332203093029204,0.1245892502012707,3.8444642566499256
0.9262935093470982,0.9088686988467262,2.0041750953311013,-0.13548065367199125,0.12000389326186407,3.8238601684570312
0.9218695504324776,0.9032501039050874,2.0029598417736234,-0.13599981580461776,0.11844313712347121,3.810522896902902
0.9194012596493676,0.9012977963402158,2.0025632949102494,-0.1357463655017671,0.12186117399306524,3.8093759445917037
0.9204919905889601,0.9038650875999814,2.0069392976306735,-0.13585142862229121,0.14130952244713194,3.836754935128348
0.9167663937523252,0.8983129773821149,2.0064828055245534,-0.13558034669785274,0.13899863333929152,3.824979509626116
0.9134189969017392,0.8949735732305617,2.007239023844401,-0.13617580277579172,0.14235371635073707,3.8218089512416293
0.9127425239199684,0.8968772888183594,2.0083351135253906,-0.13543281101045154,0.16415838968186153,3.8466807774135043
0.9138990129743304,0.8942237127394903,2.01985350109282,-0.13507640929449172,0.14234599613008045,3.8352468581426713
0.9088318234398252,0.8887231917608351,2.0285352071126304,-0.1345134008498419,0.14196788697015672,3.8335455031622026
0.9093548910958427,0.8912193661644345,2.0127894083658853,-0.13544114430745444,0.14462591352916898,3.822548275902158
0.9090367271786645,0.8886783236549014,2.024538312639509,-0.13595566295442127,0.1461496353149414,3.8324468703497026
0.9113338107154483,0.8923942020961216,2.023978823707217,-0.13546328317551387,0.16545781635102771,3.8577012561616444
0.9066217513311476,0.8895507994152251,2.0472217741466703,-0.13519046420142763,0.16430236044384183,3.8725062779017856
0.906875973656064,0.8876944042387462,2.038795652843657,-0.13516273952665783,0.15725394657679967,3.855456760951451
0.9030970618838355,0.8823722657703218,2.043530055454799,-0.13621682212466285,0.1388325464157831,3.8316152663457963
0.9028224036807105,0.8841136750720796,2.0427887326195124,-0.1364060015905471,0.16104921840486072,3.854367937360491
0.8980521247500465,0.8784613836379278,2.032931918189639,-0.13682812736147926,0.1431272370474679,3.8157435825892856
0.8967330569312686,0.8717861175537109,2.0336285545712425,-0.13793542271568662,0.12179199854532878,3.7860045660109747
0.8918206351143974,0.8656200227283296,2.0390416099911643,-0.13856145313807897,0.11923710505167644,3.777157738095238
0.8885487147739956,0.8609396616617838,2.033812931605748,-0.13900289081391834,0.10499454679943267,3.749291556222098
0.8902022043863932,0.8624943324497768,2.0559447152273997,-0.13914439791724795,0.10673306101844424,3.7762291317894343
0.8851661682128906,0.858119147164481,2.045569101969401,-0.13905539966764904,0.10651520320347377,3.756314232235863
0.8849465506417411,0.8554705665225074,2.036136990501767,-0.13914548783075242,0.10036960102262951,3.7377769833519343
0.8809342157273066,0.8516270773751395,2.043155306861514,-0.13943675586155482,0.10241945584615071,3.7386997767857144
0.8805797213599795,0.8493360791887555,2.049852098737444,-0.13985841614859446,0.09167850017547607,3.7315891810825894
0.8780722845168341,0.8469713301885695,2.0603797549293157,-0.13985239891778856,0.09740697769891649,3.742977323986235
0.8744110834030878,0.8438577197846913,2.0671764555431547,-0.1402818929581415,0.08682893571399507,3.7319920857747397
0.8753781999860492,0.8426868802025205,2.074970245361328,-0.14043493497939336,0.08884210813613165,3.741441635858445
0.8727603185744512,0.8407311212448847,2.066853477841332,-0.1407422905876523,0.08732297874632336,3.726925804501488
0.869910648890904,0.8392178671700614,2.0470768156505765,-0.1404889084043957,0.09196775300162179,3.7076844714936756
0.8698623293922061,0.8357038043794178,2.0664976210821244,-0.1409882136753627,0.08243564196995326,3.713511512393043
0.8695774986630395,0.8361225128173828,2.065894535609654,-0.14073132333301364,0.08251498426709857,3.713378179640997
0.8661059424990699,0.837739036196754,2.058159601120722,-0.14074919337318056,0.1069584574018206,3.728214808872768
0.8644927796863374,0.831349599929083,2.0510244823637462,-0.1408604099636986,0.09526042711167108,3.7012659708658853
0.8619460151309059,0.8299110049293155,2.0540043058849515,-0.14116382598876953,0.08756080127897717,3.692258562360491
0.8595795404343378,0.8274922143845331,2.0367017473493303,-0.14142229443504697,0.08713243688855853,3.6694837297712053
0.8589947110130673,0.8246112096877325,2.114015125093006,-0.14103175344921293,0.09754401161557152,3.75413331531343
